usernames,comments,total_react,Like,Haha,Care,Love,Wow,Angry,Sad
Hà Thị Phương,"Khương chửi mọi người là chó nhưng mà nãy giờ thấy bận bịu quá nhỉ? Phải ngồi táp từng câu một như thế, trả lời từng cmt một như thế. Ôii, mày cmt xong mày không đọc lại à? Não cứt hay gì mà cmt nguu vậy",1,0,1,0,0,0,0,0
Hà Thị Phương,Khương Tao kêu vợ mày lên đây với mày rồi đấy. Không biết lên đây xem mày làm trò nãy giờ vợ mày thấy sao,0,0,0,0,0,0,0,0
Duy,Trương Trung tao bắt lỗi mỗi mày thôi được không cu,0,0,0,0,0,0,0,0
Tiến Hoàng Chanel,Khương để đức cho con cái đi. Khẩu nghiệp vs phân biệt vùng miền rồi sớm muộn cũng vỡ mõm,0,0,0,0,0,0,0,0
Tiến Hoàng Chanel,Khương bme m đẻ ra m đau lol để m đi cắn bậy vậy à,0,0,0,0,0,0,0,0
Đặng Nam,Khương 3 que cay lắm khát nước ko,0,0,0,0,0,0,0,0
Trương Trung,"Duy Ranh con, vào sài gòn rồi thấy người ta nói thì ra bắt lỗi nhé, xem họ nói gì mầy, còn mầy đã cố tình không hiểu thì có viết văn giải trình thì cũng không hiểu được đâu ranh con ạ",0,0,0,0,0,0,0,0
Duy,"Trương Trung tao đang sài gòn này ranh con, vùng miền mày là cái xó nào tao không quan tâm, từ điển tiếng Việt không có thì là không có sai là sai, bao giờ cái xó của m đại diện cho Việt Nam thì hẵng nói nhé ranh con",0,0,0,0,0,0,0,0
Duy,"Trương Trung Bắc Trung Nam tao đều đã đi nên đừng nói tao đi đây đi đó tao ỉa vào mặt cho đấy nhóc con, ""ếch ngồi đáy giếng""",0,0,0,0,0,0,0,0
Trương Trung,"Duy Ranh mỗm này, mẹ m từ Bắc vào Nam rồi còn phân biệt, võ mồm, vào Sài Gòn định cư rồi thì đi ra ngoài mỗm đi thằng Ranh, ra ngoài xem có vỡ mồm không, Bố m đang ở Hà Nội này ranh con, phân biệt địt mẹ mày",0,0,0,0,0,0,0,0
Duy,"Trương Trung tự ái ngay, tao không phân biệt vùng miền thấy có con chó nào đó nói tiếng địa phương nó là đúng, vào nói sai thì chó nó tự ái nó sủa nó táp, chán thanh niên đã thiếu hiểu biết còn thích ra vẻ phân tích ngôn ngữ các thứ, thôi ngậm mõm lại … See more",0,0,0,0,0,0,0,0
Đinh Khắc Quyết,"Khương cái t ở xó vườn mà cũng da dẻ, m nghĩ dân saigon ưa m lắm hả. Lo mần ăn chet mẹ con da dẻ. Nhưng thằng như m 99% là thắng 7bai và bất mãn",0,0,0,0,0,0,0,0
Trương Trung,"Duy thằng kia nó phân biệt vùng miền? Nó dùng từ dị đó he để Châm Biếm thằng nào đấy, t mới bảo là cách nó dùng từ như thế? M lại vào bắt lỗi lại như th kia, 2 th m là 1 à?",0,0,0,0,0,0,0,0
Duy,"Trương Trung vậy "" dị đó he"" có trong từ điển Tiếng Việt không tao hỏi thật",0,0,0,0,0,0,0,0
Trương Trung,Duy nó nói Châm Biếm th kia,0,0,0,0,0,0,0,0
Đỗ Hoàng Long,"Nguyễn Quang Vinh
Bắc kỳ là tổ tiên chúng nó mà bạn.Cứ thằng nào giấy khai sinh có chữ dân tộc Kinh tổ tiên chúng nó là bắc kỳ đó.Nó chửi packy khác gì chửi tổ tiên nó đâu",0,0,0,0,0,0,0,0
Đỗ Hoàng Long,Khương Giấy khai sinh có chữ dân tộc Kinh không nếu ko có thì miễn bàn còn nếu có chữ dân tộc Kinh thì xem lại tổ tiên từ packy mà ra hay từ chămpa khomer nhé bạn,0,0,0,0,0,0,0,0
Không Có Tên,Khương đúng.đụng vào cái là nó cho là 3/ hết,0,0,0,0,0,0,0,0
Đình Thắng,"Khương thằng cháu bại não, gia phả hình tròn",0,0,0,0,0,0,0,0
Đào Hiếu,Khương vl thế giờ có mấy thằng chộm cướp giờ bảo namkiki đấy có dựng mẹ lông lên ko,0,0,0,0,0,0,0,0
Nguyễn Văn An,Khương bọn m nhắc namki có nhảy dựng lên k :))),0,0,0,0,0,0,0,0
Công Vũ,"Khương
tôi k biết bạn thế nào, chứ tôi thấy ng khác chửi ông cha tôi, ngàn ngàn lớp lớp người đi trước tôi là tôi thấy nóng máu à. Nói bắc kỳ là lũ mọi dợ pbvm, lũ mọi bán nước à. Chứ nói bắc kỳ thì có nghĩ tới cội nguồn k? Các vua Hùng ở đâu? Các đờ… See more",0,0,0,0,0,0,0,0
Quốc Thực,Khương nói mày là mọi miên mày lại chả cắn ngay lại,0,0,0,0,0,0,0,0
Khương,"Quốc Thực chắc mày là bắc kỳ loz ăn cá rô cây rồi, mọi miên là thằng cha con gái mẹ mày á, chó ăn cức",0,0,0,0,0,0,0,0
Khương,"Quốc Thực à mà nhìn m giống mấy thằg tây bắc ăn pịa ăn cức khen ngon quá ,",1,0,1,0,0,0,0,0
Tô Vũ Duy,Khương cái thằng namkii này ăn cá lau kính với cá chê chán giờ thèm ăn cứt à,0,0,0,0,0,0,0,0
Quang Anh,Khương con mày có gọi mẹ nó là cô ko ?,0,0,0,0,0,0,0,0
Khương,"Quang Anh m kiu con m gọi đi ,đéo có liên quan tới thứ giòng giống đó",0,0,0,0,0,0,0,0
Phạm Mạnh,"Khương lũ
cà mau còn đang phải làm culi cho bắc kỳ kìa",0,0,0,0,0,0,0,0
Phạm Mạnh,"Khương 1 con
cà mau lấy vợ làm 4` để đổ vỏ chia sẻ",0,0,0,0,0,0,0,0
Khương,"Phạm Mạnh bắc kỳ tụi m vô nam chi nhìu z , vô đây xin việc hả ,tụi chúng m đi ts đâu bị kì thị tới đó ,đi xkld còn bị nước ngoài cấm mấy nữa đó ,tìm hiểu thông tin lại đi con",0,0,0,0,0,0,0,0
Khương,"Phạm Mạnh mà bộ tụi bắc kỳ tụi m nhột hả, thấy thương tụi m ,cứ tìm đít của ng miền nam tụi t cắn ,chúc m sớm trở lại làm người nge chó ,đụ trâu đụ bò riết ngu đần",0,0,0,0,0,0,0,0
Phạm Mạnh,"Khương lũ
cà mau cayyy
S.ủa lên nào",0,0,0,0,0,0,0,0
Khương,"Phạm Mạnh nếu tụi bắc kỳ chúng m nhột thì cứ lên tiếng t thông cảm mà lũ khỉ đói ăn , ăn rau muống 7 món k mà",0,0,0,0,0,0,0,0
Phạm Mạnh,"Khương lũ
cà mau đang dẫy nẩy lên như bị dẫm vào đuôi vậy",0,0,0,0,0,0,0,0
Khương,"Phạm Mạnh nói tiếng người đc k, hay chỉ biết nói tiếng chó z bắc kỳ ,bắc kỳ ,bắc kỳ , chắc nhột lắm r",0,0,0,0,0,0,0,0
Phạm Mạnh,"Khương lũ
cà mau đang phải làm culi t.áp đ.ít kìa",0,0,0,0,0,0,0,0
Khương,"Phạm Mạnh bắc kỳ ơi nhột lắm phải k ,ngứa lắm phải k, sáng ăn cức chưa chó",0,0,0,0,0,0,0,0
Phạm Mạnh,"Khương lũ
cà mau cayy quá",0,0,0,0,0,0,0,0
Khương,"Phạm Mạnh ăn cức chưa, bắc kỳ ăn cức chưa",0,0,0,0,0,0,0,0
Phạm Mạnh,"Khương vợ mày làm 4` ở đâu vậy
T dắt
nhà t đến phối giống",0,0,0,0,0,0,0,0
Phạm Mạnh,"Khương s.ủa lên nào lũ
cà mau",0,0,0,0,0,0,0,0
Khương,"Phạm Mạnh lũ bắc kỳ ngứa dữ r ,nghe ns bắc kỳ chắc tức lắm ,bắc kỳ thì có tiến hoá thì cũng k thành con ng đc",0,0,0,0,0,0,0,0
Khương,"Phạm Mạnh dấu hiệu của đuối lý , đúng là bắc kỳ ngu",0,0,0,0,0,0,0,0
Khương,"Phạm Mạnh ráng ăn cức nhìu cho khôn ra nghe bắc kỳ , dị he",0,0,0,0,0,0,0,0
Phạm Mạnh,"Khương lũ
cà mau ngoan quá
Kêu s.ủa là s.ủa liền à",0,0,0,0,0,0,0,0
Khương,"Phạm Mạnh cha mẹ súc vật đẻ ra thằg con súc sanh bắc kỳ như m đó , ngứa quá thì cứ gãi ,súc sanh ăn cức",0,0,0,0,0,0,0,0
Phạm Mạnh,"Khương lũ
cà mau cayyy quá éo làm gì đc ngoài s.ủa à",0,0,0,0,0,0,0,0
Khương,"Phạm Mạnh bắc kỳ ăn cức biết nói có nhiu đó đó ,bắc kỳ bắc kỳ bắc kỳ ,tức đỏ dái hết r kìa bắc kỳ ơi, ăn rau muống k s khôn nỗi, nên ăn thêm nhìu cức nữa nghe con",0,0,0,0,0,0,0,0
Phạm Mạnh,"Khương t dẫm vào đuôi lũ
cà mau à",0,0,0,0,0,0,0,0
Khương,"Cay là lũ bắc kỳ m á ,t thấy rep cmt t là thấy cay r",0,0,0,0,0,0,0,0
Phạm Mạnh,"Khương lũ
cà mau cayyy quá
S.ủa lên nào",0,0,0,0,0,0,0,0
Khương,"Phạm Mạnh k cay thì chả lý do j phải rep cmt ,thôi vô nam nè tụi t cho cức ăn nè súc sanh ,tinh trùng khuyết tật",0,0,0,0,0,0,0,0
Khương,"Phạm Mạnh vậy nha ,nào vô nam alo t hốt cức của ae miền nam cho ăn",0,0,0,0,0,0,0,0
Phạm Mạnh,Khương thằng bố con mẹ mày đang phải làm culi cho dân bắc đó,0,0,0,0,0,0,0,0
Phạm Mạnh,Khương gia đình sv cà mau cayyy quá,0,0,0,0,0,0,0,0
Phạm Mạnh,"Khương s.ủa lên nào lũ
cà mau",0,0,0,0,0,0,0,0
Phạm Mạnh,Khương t.áp đ.ít t nè lũ nguu cà mau,0,0,0,0,0,0,0,0
Phạm Mạnh,"Khương lũ
cà mau đang phải đ.ớp c.ứt dân bắc sống qua ngày nè",0,0,0,0,0,0,0,0
Lê Đức Anh,"Khương chứ m k bt ngày trc chiến tranh có mỗi cái nơi k gọi là parky là đi cứu nước, bọn cali bọn m bán nước làm thuê cho giặc à",2,2,0,0,0,0,0,0
Quốc Thực,Khương mọi miên não chó cay,0,0,0,0,0,0,0,0
Khương,"Quốc Thực mà t hỏi cái này tụi mày trả lời nè ,đừng có trả lời tàu lau he, tụi bắc kỳ tụi m tức lắm hả gì ,nếu m tức thì giao lưu thử coi tụi m tới đâu, còn k thì mày next về cái xứ bắc kỳ của m đj , cay lắm hả j mấy con chó",0,0,0,0,0,0,0,0
Khương,"Quốc Thực như k bay dô cắn đít r nói cay vs đắng gì ,cay là tụi bắc kỳ ăn cức của m cay á",0,0,0,0,0,0,0,0
Khương,"Lê Đức Anh à m biết chiến tranh cc gì bày đặt ns, thứ thất học như m biết cc j m ơi, lo cứu ông bà già m đi chứ cứu nước gì , đm chắc tức lắm sủa quài k nín đc",0,0,0,0,0,0,0,0
Lê Đức Anh,Khương ui bọn cali bán nước,0,0,0,0,0,0,0,0
Khương,"Lê Đức Anh cay thì chửi lộn , k cay thì next",0,0,0,0,0,0,0,0
Lê Đức Anh,Khương t sao phải cay t chỉ nói sự thật chứ cay j,0,0,0,0,0,0,0,0
Lê La,"Nguyễn Quang Vinh
như nhau cc. Thấy pakycho sợ thấy mẹ. Lũ mọi rợ",0,0,0,0,0,0,0,0
Nguyễn Cường,"Nguyễn Quang Vinh
ngứa tai sao ko đi ngoáy mà đi dãy lên thế, trung kỳ nam kỳ nói ngta cười khà khà mà nói parky lại là pbvm =]], tiêu chuẩn kép à",0,0,0,0,0,0,0,0
Nguyễn Quang Vinh ✅,Nguyễn Cường t sống trong nam. Ae t nói t bk bth. Mà mấy đứa hay pbvm thì chả phải nói ? Bảo 3/ vs cali lại dãy lên bàn tròn,1,0,1,0,0,0,0,0
Nguyễn Cường,"Nguyễn Quang Vinh
kâka, t bth, chả quan tâm vì t cũng chơi đủ miền, nghe mắc cười thôi =]]",0,0,0,0,0,0,0,0
Nguyễn Quang Vinh ✅,"Nguyễn Cường t nói ở trên là nói mấy tk 3/ hay pbvm thôi. Chứ mấy thằng bạn t kêu t bk con , t cũng bảo bọn nó nk , t thấy bth. Chả sao. Người bắc thì mấy nó kêu t bk t thấy k sai. T chỉ ghét mấy đứa thích pbvm thôi .",2,2,0,0,0,0,0,0
Nguyễn Cường,"Nguyễn Quang Vinh
thì thế, nchung bên nào cũng có thằng pbvm thôi",0,0,0,0,0,0,0,0
Quốc Thực,Khương chó mọi miên thì làm dc con cặc gì chỉ biết sủa thôi,0,0,0,0,0,0,0,0
Khương,"Quốc Thực ok z là chứng tỏ bắc kỳ tức lắm r, z đi sủa j sủa đi , tự nhiên nghe bắc kỳ",0,0,0,0,0,0,0,0
Dương Tiến Mạnh,Khương bọn bố m có nước ok :)),0,0,0,0,0,0,0,0
Khương,"Dương Tiến Mạnh uống đi con trai, uống vô r có sức sủa ,thêm 1 thằng nữa nhột",0,0,0,0,0,0,0,0
Dương Tiến Mạnh,Khương :)) cay à bọn thua cuộc,0,0,0,0,0,0,0,0
Trung Van Le,Khương đẻ con k có lỗ đít nha m,0,0,0,0,0,0,0,0
Hoàng Long Vũ Mão,Khương,0,0,0,0,0,0,0,0
Nguyễn Tùng,Khương nói thẳng mẹ là Bắc Kì đi. Parky làm mẹ gì cho rối,0,0,0,0,0,0,0,0
Nguyen Pino,"Nguyễn Quang Vinh
parky đần độn",0,0,0,0,0,0,0,0
Nguyễn Quang Vinh ✅,Nguyen Pino thôi ông im moẹ mõm đi . Mấy loại 3/ đâu bao h dám đưa mặt l của mình ra . Sợ bị tế đó . Toàn phải núp clone . Tội thật . Tội hơn tró,0,0,0,0,0,0,0,0
Nguyen Pino,"Nguyễn Quang Vinh
thiếu gì, trên tiktok người ta để ảnh thật đầy",1,0,1,0,0,0,0,0
Nguyễn Quang Vinh ✅,Nguyen Pino m k thấy t bảo chữ parky thì bth. Còn mấy đứa 3/ cali pbvm mới k bth . Đọc hiểu có vấn đề à ? Hay ở mẽo ăn xúc xích nhiều quá nên lú,0,0,0,0,0,0,0,0
Nguyen Pino,"Nguyễn Quang Vinh
nếu mày từ parky bth thì rep tao làm gì
parky ăn pịa nên đần vcl, người ta nói 1 hiểu 2, chúng mày nghe 9 mà éo hiểu 1 nữa",3,1,2,0,0,0,0,0
Nguyễn Quang Vinh ✅,Nguyen Pino t thấy bth vs ng bth. Còn bọn 3/ nch kiểu khịa khịa núp clone như m thì t chửi bth,0,0,0,0,0,0,0,0
Tung Pham Duong,"Khương Người miền Bắc là người Việt xịn, người Việt chính tông mà lại",0,0,0,0,0,0,0,0
Tung Pham Duong,Các tỉ phú đô la toàn người Bắc. 3 tòa cao ốc cao nhất miền nam cũng là của các ông chủ người Bắc. ngưỡng mộ sự lãnh đạo của các ngài,1,0,0,0,1,0,0,0
Khương,"Tung Pham Duong xịn tới nỗi đi tới đâu bị ghét tới đó, xịn quá s k ở ngoãi đi ,vô nam làm chi cho ngta ghét",1,0,1,0,0,0,0,0
Tung Pham Duong,"Khương vì người miền Bắc tạo ra miền nam mà.ghét là vì đố kỵ ghen tị thôi, tại người Bắc thông minh và giỏi quá, lãnh đạo dân mọi là trách nhiệm của người chủ",0,0,0,0,0,0,0,0
Viet Anh,Khương ngu,0,0,0,0,0,0,0,0
Khương,Viet Anh lại thêm 1 con chó ngứa,0,0,0,0,0,0,0,0
Khương,"Viet Anh cay lắm hả con, còn nếu m nói k cay thì mời m cút, mà m trả lời là m cay",0,0,0,0,0,0,0,0
Bến Bờ Bình Yên,"Nguyễn Quang Vinh
ủa thì ngoài bắc gọi là bk đr, mà bk có j hay sao gọi tới nhảy đỏng lên z, tự nhiên nói pbvm thà im đi ai nói tới",0,0,0,0,0,0,0,0
Nguyễn Quang Vinh ✅,Bến Bờ Bình Yên m có đọc hết cmt t rep k hay chỉ biết táp,0,0,0,0,0,0,0,0
Hoàng Thảo,Khương ủa sao khoá dzị???? Để mừn vô coi người ngợm ra sao chứ giống ngợm quá.,0,0,0,0,0,0,0,0
Khương,"Hoàng Thảo tại bọn bắc kỳ chúng m xấu tính quá , chửi k lại r đi làm chuyện tiểu nhân ,giống chó tụi m cũng biết xem hình hả",0,0,0,0,0,0,0,0
Khương,"Hoàng Thảo cảm ơn đã quan tâm à, bọn chúng m có qua thì có lại thôi, làm như tụi m tốt lắm k bằg",0,0,0,0,0,0,0,0
Hoàng Thảo,Khương t k pbvm nhé. T rất tốt đéo như m. Ok chưa? Xã hội nào cũng vậy. Thông minh để nhìn nhận ra chứ đừng đi đá xéo .,0,0,0,0,0,0,0,0
Kòy Saker,"Khương namkiki, namcali",0,0,0,0,0,0,0,0
Khương,"Kòy Saker bắc kì nhột nữa r kìa, chọt trúng chỗ thốn tụi m rồi ,bắc kỳ ăn cá rô cây ,ăn nhằm lựu đạn chết cha bắc kỳ , m thấy t làm tặng m bài thơ có hay k",0,0,0,0,0,0,0,0
Kòy Saker,"Khương namkiki, namcali",0,0,0,0,0,0,0,0
Khương,"Kòy Saker tụi m nhột quá khi bị gọi bắc kỳ nên mới nghĩ ra mấy cái tên đó hả, chả ăn thua đâu con chó à, chỉ có m mới cay thôi chứ tụi t thấy chả có gì ,nhột quá k biết làm gì đúng k lủ khỉ chưa kịp tiến hoá",0,0,0,0,0,0,0,0
Kòy Saker,"Khương không hề nhột nha, , tụi tao rất khoái khi bọn mày gọi như vậy, namkiki, namcali",0,0,0,0,0,0,0,0
Khương,"Kòy Saker nam kiki ,nam cali, nghe hài quá ,nhưng bắc kỳ ăn cá rô cây nghe hay hơn ,chắc m thích được gọi là bắc kì lắm đúng k chó, vô nam tụi t cho shit ăn thoải mái nè",0,0,0,0,0,0,0,0
Nguyễn Thành Tiến,"Nguyễn Quang Vinh
cay thế nhờ",3,1,2,0,0,0,0,0
Trịnh Sang,"Nguyễn Quang Vinh
ko có gì mắc gì phải lôi 3q cali vào. Mày nhột hả",15,4,11,0,0,0,0,0
Nguyễn Quang Vinh ✅,"Trịnh Sang thì bọn 3 que vs cali con hay khịa bk đó chứ sao
. M 3 que à sao bênh nó z",7,6,0,0,0,0,1,0
Trịnh Sang,"Nguyễn Quang Vinh
parkky thì ai cũng ghét đâu phải riêng 3que cali. Xung quanh bạn bè tao ai chẳng ghét parkky ko lẽ cali hết hả ta. Ác cái toàn ở vn…. Kkkkk. Parkky thấy nhột mới nhảy dựng . Chứ m kêu t 3que 4 que cũng đc mà. Kkkk",4,4,0,0,0,0,0,0
Nguyễn Quang Vinh ✅,"Trịnh Sang sao ae t nói k sao mà mấy đứa hay pbvm t ghét vậy thôi
. Còn mở mồm ra như m thì chắc gốc 3/ hoặc cali con rồi. Phân biệt cha m vs mẹ m kìa thằng cu",0,0,0,0,0,0,0,0
Vương Văn,"Nguyễn Quang Vinh
không trịnh sang k phải 3que hay 3 sọc gì . Mà trịnh sang là gì thì ảnh đại diện ns rõ rồi",1,0,1,0,0,0,0,0
Lãm Lãm,"Nguyễn Quang Vinh
3/ mới có quyền khịa Parky chúng mày à",2,2,0,0,0,0,0,0
Nguyễn Quang Vinh ✅,"Lãm Lãm nch bth thì k sao. Ae t cũng kêu t bắc kì bth. Còn thể loại pbvm thì xứng đáng gốc 3/ rồi đó. M nhột à cu 3 que , cali con ?",0,0,0,0,0,0,0,0
Lãm Lãm,"Nguyễn Quang Vinh
Khịa chúng mày là Cali á? Parky chúng mày có lối suy nghĩ lạ nhẩy
Bố mà ở Cali xơi bò bú vang cho sướng, khịa chúng mày làm gì phí thời gian hả Parky phỏng đạn",1,1,0,0,0,0,0,0
Nguyễn Quang Vinh ✅,Lãm Lãm nói phát tự vả rồi còn gì. Cali con thì im mõm. Đéo có tư cách phát biểu + nch vs bố.,0,0,0,0,0,0,0,0
Nguyễn Quang Vinh ✅,"Lãm Lãm chỉ có giỏi vác clone xong mõm thôi. K biết ngày nổi 3 bữa k hay liếm cẳng ngta để đc cục xương
. Thua chó nhà t còn đc ăn đầy đủ",0,0,0,0,0,0,0,0
Lãm Lãm,"Nguyễn Quang Vinh
Cali con là cái đéo gì thế, tên ông nội mày à parky? Nguyễn Quang Cali à
Mày là cái cục
gì đòi tư cách :)) Parky ảo tưởng vcc",1,1,0,0,0,0,0,0
Lãm Lãm,"Nguyễn Quang Vinh
Chuẩn, bố thấy 2 con
parky bận áo cưới đắm đuối nhìn nhau",2,2,0,0,0,0,0,0
Sinh Tố Pơ,Lãm Lãm nam cầy cũng cưới nhau moà,0,0,0,0,0,0,0,0
Lãm Lãm,"Sinh Tố Pơ Dẵm phải đuôi mày à, bụi đâu lao ra oẳng câu thiếu i ốt vậy Bắc cầy tró",0,0,0,0,0,0,0,0
Sinh Tố Pơ,"Lãm Lãm ủa sao mà sồn sồn ghê zọ
nói người ta thì được thì người ta nói lại thôi nam cầy ạ",0,0,0,0,0,0,0,0
Lãm Lãm,"Sinh Tố Pơ Mày nhảy xồm vào bố, kêu bố xồn là thế nào con Bắc cầy tró zọ zọ",0,0,0,0,0,0,0,0
Sinh Tố Pơ,"Lãm Lãm thì mày cũng nhảy vào rép cmt của người ta đó,đúng là nam cầy đụng người ta thì được người ta đụng lại thì khóc ròng lên",0,0,0,0,0,0,0,0
Lãm Lãm,"Sinh Tố Pơ Con Bắc cầy tró vừa ăn cướp vừa la làng, nhảy xôm vào bố kêu bố mày xồm ơ??? Zọ zọ cmm",0,0,0,0,0,0,0,0
Sinh Tố Pơ,"Lãm Lãm nam cầy đã cay
đừng như zậy mắc cười lắm nam cầy à",1,0,1,0,0,0,0,0
Lãm Lãm,Sinh Tố Pơ Cay??? Dòng nào bố mày cay vậy Bắc kì tró? Dòng lấy nón cối nhét mồm mày à?,0,0,0,0,0,0,0,0
Sinh Tố Pơ,"Lãm Lãm đừng zậy mà ,tức quá gây chết sớm đó nam cầy",0,0,0,0,0,0,0,0
Lãm Lãm,"Sinh Tố Pơ Hết xồm rồi đến cay hả con Bắc cầy tró? Dòng tộc cối chúng mày chọc giải trí, cay cái đéo gì vậy?",0,0,0,0,0,0,0,0
Lãm Lãm,Sinh Tố Pơ Cay lắm hả con bắc cầy tró,0,0,0,0,0,0,0,0
Sinh Tố Pơ,"Lãm Lãm ủa nam cầy nhại lại câu của t chi z
hết văn rồi à?",0,0,0,0,0,0,0,0
Lãm Lãm,Sinh Tố Pơ Cay hả bắc cầy tró? Mày thấy cay nên nói người khác cay à,0,0,0,0,0,0,0,0
Sinh Tố Pơ,Lãm Lãm tại thấy nam cầy sồn sồn ghê quá đó,0,0,0,0,0,0,0,0
Lãm Lãm,"Sinh Tố Pơ Tao thấy 1 con
bắc cầy xồn luôn miệng cay cay đấy chứ",0,0,0,0,0,0,0,0
Sinh Tố Pơ,"Lãm Lãm nhưng có 1 con nam cầy bình luận nồng nặc mùi tức banh háng
eo ôi ngay cái bình luận đầu t cmt rất bình thường mà nam cầy zô táp như chó",0,0,0,0,0,0,0,0
Lãm Lãm,"Sinh Tố Pơ Bắc cầy bắt đầu dơ mồm rồi, mày đang cay kìa
Bắc cầy",0,0,0,0,0,0,0,0
Lãm Lãm,"Sinh Tố Pơ
Bắc cầy bảo vệ chủ ghê thế, nhảy vào táp ngay",0,0,0,0,0,0,0,0
Sinh Tố Pơ,"Lãm Lãm chủ t là ai z nam cầy
nam cầy xin hãy viết văn mới đừng nhai lại câu của mình",0,0,0,0,0,0,0,0
Nguyễn Đạt,Lãm Lãm gỡ quê quán hà nội xuống đi mấy thằng namkiki ở nhà rơm như chúng mày mà đòi quê hà nội à namkiki?,0,0,0,0,0,0,0,0
Lãm Lãm,"Sinh Tố Pơ Ko bảo vệ chủ thế mày táp càng à
hoang",0,0,0,0,0,0,0,0
Sinh Tố Pơ,"Lãm Lãm t rep cmt rất bình thường mà có 1 con nam cầy nhảy cẫng lên đó thôi
má đúng tội nghiệp bọn nam cầy, lúc nào cũng phải sồn sồn lên,nói người ta thì được người ta nói lại thì nhảy cẫng lên như bị dội nước sôi vào buồiiii",0,0,0,0,0,0,0,0
Thái Tuấn,Trịnh Sang đấy cali zẫy nảy lên đấy,0,0,0,0,0,0,0,0
Trịnh Sang,"Nguyễn Quang Vinh
m gọi t cali 3que do mày cay tụi đó thôi. Chứ t kêu mày parkky mày lại cắn. Má mắc cưới quá. Parkky cay rồi",2,1,1,0,0,0,0,0
Nguyễn Quang Vinh ✅,Trịnh Sang pbvm thì xin mời cút ạ,0,0,0,0,0,0,0,0
Nguyễn Quang Vinh ✅,"Trịnh Sang rác xoá avt con tró của m rồi à cu
. Cút đi giùm cái thứ 3/",0,0,0,0,0,0,0,0
Trịnh Sang,"Nguyễn Quang Vinh
parkky cay quá giờ lôi đủ thứ ra nói. Kkkk",0,0,0,0,0,0,0,0
Nguyễn Quang Vinh ✅,Nguyễn Đăng Bách thì kệ tổ họ nhà m chứ sao. Đéo liên quan tới t :))),0,0,0,0,0,0,0,0
Nguyễn Quang Vinh ✅,"Trịnh Sang im moẹ đi mấy con cún cali
. Cay quá toàn táp thôi. Bẩn quần vc",0,0,0,0,0,0,0,0
Nguyễn Quang Vinh ✅,Nguyễn Đăng Bách im mẹ mõm đi. Bọn 3/ cali con tụi m thì đừng có xàm cặc với t . T cho vé b.l.o.c.k đỡ nhìn thấy mặt tụi là t vui r .,0,0,0,0,0,0,0,0
Nguyễn Quang Vinh ✅,Nguyễn Đăng Bách bọn 3/ tụi m thì tự hiểu về bản thân đi chứ cần con cặk gì t phải hiểu tụi m ? Giống người không ? Hài tết sớm à ?,0,0,0,0,0,0,0,0
Đặng Nam,Trịnh Sang thằng phản động cay cú,0,0,0,0,0,0,0,0
Ng Hiewu,"Nguyễn Quang Vinh
tụi tao đâu có khịa parkey, tụi kì thị parkey, nói luôn thằng cha m ở VN nha , sủa cali đe.o xi nhê đâu",1,1,0,0,0,0,0,0
Trường Trần,"Nguyễn Quang Vinh
cali bawe tụi nó 90% là bắc kỳ 54 đó thằng ngu à",0,0,0,0,0,0,0,0
Vui LàChính,Trường Trần cali bawe nào 90% là miền bắc? Tự bịa chuyện dở thế,0,0,0,0,0,0,0,0
Trường Trần,Vui LàChính chứ năm 1975 chạy giặc cộng sản là bắc 54 là nhiều. Mày ko nghe giọng nói ở Cali đa số giọng bắc à. Như thằng Nguyễn Cao Kỳ ko bắc kỳ là gì,0,0,0,0,0,0,0,0
Vui LàChính,Trường Trần toàn 3we miền nam vnch đu càng chứ miền bắc lúc đó lo đá đít bọn m đi rồi,0,0,0,0,0,0,0,0
Trường Trần,Vui LàChính đa số bắc 54 vô là theo VNCH rất nhiều thằng ngu à. Rồi khi cộng sản vô thì bắc kỳ 54 lại chạy tiếp ra hải ngoại. Còn dân miền nam qua năm 1975 do khổ qua mới đi vược biên. Ngu thì để bô nói cho nghe,0,0,0,0,0,0,0,0
Vui LàChính,"Trường Trần thế xin cái dẫn chứng bắc 54 theo vnch nào? Chứ đặc sản 3/ là tuyên láo, bịa chuyện, nhét chữ vào
mồm nên nhìn cu em chính tả còn không xong thì nói gì đến lịch sử",0,0,0,0,0,0,0,0
Trường Trần,Vui LàChính à thì ra mày là một thằng bắc kỳ,1,1,0,0,0,0,0,0
Vui LàChính,"Trường Trần haizz chán 3we quá cãi không lại bắt đầu chửi đổng, à mà anh dân Khánh Hòa nên anh là dân namki nhé cu em",0,0,0,0,0,0,0,0
Trường Trần,"Vui LàChính https://vi.m.wikipedia.org/wiki/B%E1%BA%AFc_54 mày vô coi những người bắc 54 nỗi tiếng.
Mày dân nam nhưng là dạng ngu lâu.",0,0,0,0,0,0,0,0
Vui LàChính,Trường Trần anh kêu anh cần dẫn chứng vnch toàn là bắc 54 của cu em mà? Chứ đâu ai hỏi bắc 54 nổi tiếng? Anh mà ngu thì cu em giờ này làm gì tồn tại để sủa bậy với xàm ngôn?,0,0,0,0,0,0,0,0
Trường Trần,Vui LàChính mày ko thấy đa số tướng tá VNCH là bắc kỳ 54 à. Vô đó mà đọc.,0,0,0,0,0,0,0,0
