,comments
709, username  chuyện nước t để bọn t lo mày có nước đéo đâu mà loi choi vậy ngu ngục
710," username  giẻ lau nào ông, nó cấm thấm nước đâu mà lau"
711, username  thì bác kia bảo giẻ lau mà thiếu nước lau sàn nên không sạch được đó bác
712," username  về Việt nam nó vẫn còn cả đống fan thì tẩy kiểu gì? Hội 3/// trong nước cũng đông lắm, nhìn thằng đờm là hiểu kìa"
713, username  ờ vì Việt nam vẫn còn một lũ 3/// nữa vẫn ôm mọng phụt quốc ai chả biết
714,"Hòa Dương làm gì đông hơn 100 triệu dân vn dc :)) Hiền Hồ, thủy tiên, hoài linh fan cũng nhiều, dổi cũng bị tẩy chay cho chìm luôn đó thôi. Giờ fan VN khác xưa r"
715,"Mạnh mẽ lên chị gái, chuyện gì rồi cũng sẽ qua thôi, 49 qua đi 53 tới. 54 chúa đi bộ vào nam và 5 nay cả nhà c lộ 1 ổ cali."
716, username  cop của ông ở trên à?
717, username  mẹ bọn đạo văn
718, username 
719, username  đừng nói thế mà xúc phạm con chó b ơi. Chó ở Mỹ còn được đúc tượng chứ lũ cali bằng sao được chó
720, username 
721, username 
722, username  ông ơi cho tôi xin video với ạ. Có bằng chứng rành rành như này thì cứ đợi vụ này mà lắng xuống tôi sẽ vào spam
723, username  check ib nè
724, username  chung vs chó mà k làm bạn vs chó mới lạ.
725, username  cùng loài cùng giống với nhau ngửi cái biết ngay.. khứu giác tốt thật..(KHÔN) lắm đây
726," username  ngoan nào ko đc cay,loài chó /// nhà bạn nhìn là biết mà,giống như loại chó mỹ nuôi ở Việt Nam lúc xưa thôi,ở VN cứt ko đủ ăn nên qua mỹ đớp cứt mỹ vs đồng loại mà ko có nước uống chắc cay lắm"
727, username  ê bắt dk con dog 3///
728, username  3 que xỏ lá. Giọng điệu cay cú
729, username  chó đâu có đẻ trứng hihi
730,Giấc mơ Mỹ thành hiện thực rồi đó
731, username  câu này thì k cãi bay được nè
732,Test máy phát hiện nói dối xem
733, username  cháy mẹ máy
734, username  máy nó không cháy đâu. Quan trọng nó có điều khiển cảm súc với trí óc đượcnk
735, username  máy bốc hỏa luôn
736, username  diễn viên nghệ sĩ nó diễn hơn thật test sao ra
737, username  trừ khi nó tự thôi miên mình trước. Tiêm cho liều khai hết
738, username  tiêm cho liều ngừng tim
739, username  khó thê cũng ngĩ ra
740, username  Test máy phát hiện nói dối xem ; con ' ho cho meo ' doat giai VO DIT ......... kkk
741, username  mà đây là nhà của người quen mà. Đâu phải nhà của hai vợ chồng Đâu.
742, username  cái lá cờ sờ sờ ra đó mà nó nói không thấy
743, username  Máy kêu:Vợ chồng nó là trùm nói dối
744,Con người phải có ý thức thấy c*t thì phải dọn :)))
745, username  ờ! Để Bác làm gương cho mấy cháu nhé!
746, username  top =))))
747,Cụ Tổng đã xem
748, username  cụ méo rảnh để xem
749, username  uh.thì bọn cán bộ vn vẫn ùn ùn kéo qua đây muốn ăn bám đó thôi..lạ gì.mày đúng ếch ngồi đáy giếng.chưa có thẻ xanh phải ko.mày mơ đi.yêu nước đi..
750, username  bố cái thằng não tôm này. Bị ngu à
751, username  xem chùi cũng bằng không thôi.cụ chuẩn bị qua đó ở luôn.các cháu đã bị lừa kkk
752, username  nói mà t cười phọt cali
753, username  cụ sắp đi rồi.cười cái đ..e..ó gì mày
754, username  cụ đi thì cụ cũng ở việt nam nhé
755, username  cụ đi trị bệnh
756," username  việt nam tao k thiếu bs giỏi, phản động cút cmm đi"
757, username  vn gỏi lắm...giỏi ăn....
758, username  đéo đi ăn bám Cali như cmm chúng mày
759, username  khát nước k nhóc . Đái cho ngậm này
760, username  thằng phản động có thể nào đổi cái profile đi đc ko ? Đéo phải người Quảng Trị vì QT bọn tao đéo chứa chấp 3 sọc.
761, username  tao chơi tới hàng vps rồi.mày còn ngu lắm.nói phản động thì hàng chủ tịch nước tụi mày .phản cả rồi.đặc biệt.thèn nào cũng như heo
762, username  cứ sủa đi vì tụi tao năm nào cũng ăn mừng giải phóng miền Nam thống nhất Đất nước chứ ko đứng sau lưng sủa bằng mõm như tụi mày :)) nói tiếng Việt nhưng lại chui háng bọn phản quốc. Hèn
763, username  tiếng việt ghi còn ko đúng chính tả.thì tao lạy.cụ ông nhà mày bán nước hay gì mà dạy dổ ko đến nơi đến chốn vậy.toàn lũ ngu
764, username  ko đúng chính tả chỗ nào mày chỉ tao xem thằng óc chó ?
765, username  tiếng Việt làm ơn viết hoa dùm tao nhé với cả sau dấu chấm cũng viết hoa mày ơi. Để tao phổ cập kiến thức tiểu học thêm cho chứ thấy ko ổn lắm.
766, username  bò đỏ có khác
767, username  mày còn ở Việt Nam thì tốt nhất là ngậm mồm lại. Cứ ung dung đi.
768, username  sủa thế nào thì tụi tao cũng vẫn sống tự hào trên đất mình chứ ai như tụi mày chỉ biết sủa bằng mõm.
769, username  nói với bọn thiểu năng trí tuệ làm gì bạn....trong đầu bọn nó toàn cứt thôi k khai thông đk đâu
770,Nói vậy mà màu ko hiểu.ấu trĩ thật.
771," username  mua bia sẵn rồi , chờ khui thôi kkkk"
772,Nói đúng cãi ko lại.cháu lại nói bừa ah.kiến thức vẫn có thế thôi.....dốt nát vẫn luôn dốt nát
773, username 
774,"Lúc nào cũng tự hào quá VN ơi vậy mà có miếng giấy đó mà sợ té đái, tại Hạ xin bái phục, hay là quá khứ đã làm gì có lỗi nên giờ run sợ."
775," username  sợ con cặc, ko ưa thôi chứ sợ gì lũ 3 que xỏ lá óc chó đó, mà ko ưa rồi thì cho nó biến mẹ cho nhanh"
776, username  sợ thì nói mẹ bày đặc nữa ::)))
777," username  sợ gì cái lũ khát nước đó, mày coi tao sợ nó cái gì kể nghe chơi coi thằng ngu"
778, username  đâm có cái cổng mà 49 năm rồi vẫn dỗi
779, username  có tờ giấy mà tụi bây làm quá:)))
780, username  làm cái lồn gì quá? Mà thôi mấy thằng ngu khát nước như mày không hiểu nổi tình yêu Tổ Quốc là gì đâu
781, username  sợ chưa bh có trong từ điển của ng dân Việt Nam
782, username  giấy chùi đít mà m mang lên bỏ đầu giường thế đc cũng giỏi đấy VN bọn t cứ thấy giấy chùi đít là sợ chứ ai như m lấy về nhà bỏ đầu giường đâu
783, username  sợ ???.trông k ưa thôi chứ bọn đấy làm dc đách gì mà sợ
784, username  giấy cái cc may biết cái l gì nói giấy
785, username  cái đấy cả gia tộc nhà mi bọn nó nhét vào cuống họng cho nên thích chứ không sợ
786, username  may cầm cái giấy đó đi Ra đường ở VN dùm tao cái
787," username  cứ vác cái đó đi ngoài đường, biết ai sợ liền à"
788, username  nói thế thì sao mà ba we táp nổi =))))))))))
789, username  ngày xưa thôi
790, username  sợ cái c...c nè
791," username  chạy tụt quần có gì mà phải sợ, cái thây ma không còn hồn vía,sống tầm gửi lưu vong làm gì còn tí giá trị nào nữa"
792, username  không sợ nhưng nhìn thấy là thè lưỡi vẫy đuôi tru tréo méo giật cắn nhá điên loạn để làm j .. khi người ta không nhét khoai của chúng vào họng mẹ mi
793, username  nhìn chướng mắt có được ko?
794, username  lấy kim băng mà gại
795, username  nhưng bọn tớ đập nó 49 năm trước rồi nên giờ nhìn nó ngo ngoe ko thích.
796, username  không thích ăn bơ thừa sữa cặn thì cứ việc úp mặt vào bãi pịa mà tộp thôi
797, username  cái đấy bạn ăn hàng ngày ah. Bọn tôi ăn cơm mà
798, username  vào chuồng tộp nốt bãi pịa mau rồi trông nhà cho ta
799, username  giống Phú Quốc hay Mông cộc? Há alo ta coi
800," username  cảnh ăn nhờ ở đợ,cơm thừa canh cặn, mà còn tinh tướng, được cái tự nhục cao"
801," username  câu trên không làm gì nhau câu dưới đã táp như cho rồi:)) , bọn /// gặp là phải diệt không cho đẻ trứng"
802, username  hãnh diện chưa
803, username  khác gì giống loài nhà mi..suỵt cái là thè lưỡi vẫy đuôi cắn nhá điên loạn..luôn .Vào chuồng tộp nốt bãi pịa mau rồi trông nhà cho ta nghe chưa
804, username  giống nhà ngươi đây này
805, username  phụ huynh của mi đấy ư ?.. há mõm xem lưỡi nào
806, username  đọc mà cảm thấy mừng quá. 3 que chúng m vẫn ngu như này nên đất nước t vẫn bình yên được như hôm nay. Giờ hiểu ngày xưa lũ ngu VNCH được cung cấp bao nhiêu là vũ khí mà vẫn phải cắp đít chạy. Ngu quá thì thắng làm sao nổi. Thôi cảm ơn n… See more
807," username  con tinh trùng khuyết tật bị mất dây thần kinh này=))khát nước về đây t đái cho mà uống chứ cái loại m nhặt bơ thừa sữa cặn bên cali tinh tướng=)),theo mẽo thì nói tiếng mẽo đi nói tiếng Việt ăn cútw à,khác đ gì m tự ỉa tự ăn"
808, username  mày làm gì có nhà ???
809, username  cái dẻ lau mà để ở đầu giường nên nhắc nhở thôi
810," username  mấy thằng ngu bị ủi sập cái cổng sợ chạy 49 năm chưa dám về nhà uống nước, tao ko biết ai mới sợ"
811," username  lũ ch0 barwe chạy tụt cả quần, đé0 ai care chúng mày. Sao chúng mày cứ chống phá bọn tao? Bọn tao làm gì chúng mày à?"
812," username  sợ, sợ lắm,sợ lại có thêm 1 ngày kỉ niệm chiến thắng, đất nước đã quá nhiều ngày lễ rồi, giờ nghỉ nữa tao lại phải nhậu"
813, username  cầm cờ của họa sĩ người áo mà đem vẫy giữa xứ tự do xem nó như thế nào. Chắc Mỹ sợ nên nó cấm?
814,Bạc Lương Sơn thằng sợ là thằng phải lưu vong
815, username 
816, username  cứt thì đéo ai sợ cả nhưng mày có thấy ai thích lại gần chụp hình đống cứt không???
817," username  là k muốn gợi lại kí ức đau thương khi 1 bộ phận báo đời cõng rắn cắn gà nhà, rước voi về giày mả tổ khiến đất nước mất đi 21 năm dọn đống cứt. đến người thực việc thực, quân lực hạng tư đc bố mẽo hỗ trợ tần răng bọn ông còn đánh cho tụt… See more"
818, username  đâm đổ cái cổng mà sợ đến tận bây giờ lêu lêu ///
819," username  định nghĩa cho t từ sợ lag như nào z thấy thứ bẩn mắt thì ngta chê bai châm biếm chứ đéo ai sợ, như nhìn thấy cứt thì phải né k lại dẫm vào chứ ai sợ 1 đống cứt bao giờ"
820, username  Giờ ví dụ ông là người vỗ ngực bảo mình can đảm vãi lồng thế ông có dám bốc cức bỏ vào mồm ko?
821," username  thế thì cầm cái cờ của hoạ sĩ người áo bên sứ cờ hoa xem nó như nào? Xem nó có sợ k =))) Đơn cử như việc b viết tên của hoạ sĩ người áo lên fb thôi, thằng mark xoăn nó khoá mõm ngay và luôn =))) hay thằng mark nó sợ quá khứ?"
822, username  cái văn này qua nay gặp nhiều. Ngta ghét = ngta sợ :)))
823," username  đm mày ngu thật hay giả vờ ngu. Lúc nó có công thì khen thưởng, lúc nó có tội thì phải xử lý. Nó như virus ung thư, ngăn chặn sớm thì chữa lành, để nó di căn thì chỉ có đóng hòm thôi. Mã cụ nhà mày"
824, username  nhà đã quét sạch rác rồi giờ thỉnh thoảng có tý bay vào lại phải đi dọn ai chả bực.
825," username  bme mày đẻ ra mày chắc rát cái lol lắm nhỉ ? Não hữu dụng lắm đấy, mày đã thử sử dụng bao giờ chưa ?"
826, username  3 cái dẻ chùi loz thì sợ cái đ/éo gì a ơi cái cụ biết các cụ buồn đấy
827, username  trẻ không học hành tử tề già nó khinh đó cháu. Lo học hành tử tế đi
828, username  mày bị ngu hay giả vờ ngu thế. Ko phân biệt được đâu là khinh thường đâu là sợ ah. Lớn ngần này tuổi đầu lại đi bảo sợ. Còn ngu lắm con trai ạ
829," username . Mày ranh con hóng chi chuyện người lớn vậy, về hỏi lại 2 đứa thân sinh ra mày coi. Nhải ranh."
830," username  học thức của bác chỉ dừng ở mức biết đọc biết viết thôi à, phát ngôn nghe ko thấy có tí trình độ nào, lần sau ko biết gì thì ngậm câm lại nhé mất công người ta chửi cho"
831," username  học thêm đi th nguu, đừng nghĩ ai cũng nguu giống m"
832," username  mày ngu vl. Ko phải là sợ mà là ghét. Ghét lũ bán nước, đu càng mày hiểu được ko. Ko yêu cái VN ngày này thì ko hiểu đc đâu cháu ạ. Cháu quả là ngu và vô ơn."
833, username  không phải họ sợ mà họ thấy kinh tởm mày hiểu không
834, username  sợ là phải rồi
835, username  sợ...nhưng là sợ dơ
836, username 
837," username  dù có là người dũng cảm nhất thế giới này mà bảo cầm cứt xong lấy tay bóp thì ai cũng ghê, nhất lại là cứt nát. Thế lên bọn tao là người sợ cứt đái nó dây vào người chứ không như lũ ruồi nhặng vo ve lấy cứt làm thức ăn"
838, username 
839," username  ông nói chuyện ngu mà còn bày đặt nguy hiểm. ông đánh tráo khái niệm coi thường với sợ trắng trợn thế, chế độ cũ đã bị xóa bỏ, hiện tại những người theo tư tưởng chế độ cũ luôn chống phá, chửi bới đất nước Việt Nam. vậy những người ăn học… See more"
840, username  sợ vãi lồn. Mầy thấy cứt mầy có sợ không hay mầy vẫn bám vào ôm hôn. Thằng mặt lồn có tâm hồn chó dại này :))))
841,Cứt thì ai chả sợ dính vào
842, username  ông có sợ cứt không
843," username  sợ đã éo dám lên tiếng, nhìn ngứa mắt t chả chửi"
844, username  bố Mỹ mày tụi tao còn vả cái loại chó săn này ai sợ
845, username  sợ bẩn đó ! Chớ ở trong nhà có miếng giấy dính cứt thì mình để yên à ? Sinh sau đẻ muộn mình ko biết thì mình im mõm nó hay hơn !
846, username  nghĩ = đầu trên hay đầu dưới mà viết đc câu văn ải chỉa thế?
847, username  ô lỡ húc có cái cổng từ 49 năm trước rồi mà tới giờ vẫn dỗi vẫn giãy nảy lên thế à? Người gì đâu mà nhỏ mọn thế? Chỗ ông có thiếu nước không mà sao nghe chừng khát nước quá vậy? :)))
848, username  Phòng An Ninh Mạng
849,Yêu thương chia sẻ của bọn 3/ thôi chứ ở Việt Nam chúng tôi k làm thế
850,Hình như 2 thằng đó là ng gốc hoa thì phải
851," username  có rất nhiều người Việt gốc Hoa sinh sống tại Mỹ và họ không nhận là gốc Việt khi được phỏng vấn. Cá nhân mình chưa bao giờ thích cái lũ Tàu chợ lớn này, ngay cả tại Mỹ. Vì sao? Vì tụi này luôn tự coi là người Tàu"
852, username  gdinh ae no la người hoa nha.k thay con vợ đag ha vo quang tri ck Quang đông
853, username 
854, username  Giang Trạch dân là cdb gì hả mày
855, username  mày nói càng ngày càng ngu họ lý có từ rất lâu rồi và là dòng họ lớn đâu như họ Giang à Tây nội địa thì biết gì về đất nước tao mà nói như đúng rồi
856, username  3 tàu 3 que hợp thế còn j nữa
857,"Đi vào phòng đó ngủ, thấy lá cờ đó ko lẽ ý thức dân tộc ko có để mà cất vào tủ mà sinh hoạt. Khi tìm được nơi ở khác thì để lại nguyên trạng cho chủ nhà. Đằng này lại thích để thế nữa cơ. Chuyến này có đi ko về rồi."
858, username  chắc bị mù
859, username  mù thì ko phải. Nhưng chắc chắn là chơi vơi bọn bà sọc
860, username  nếu là tui sẽ vứt nó xuống đất chứ ai để cức lên đầu
861," username  : con này là tây nội địa rồi, nó cố tình làm vậy để thông báo tín hiệu cho vịt tân thu nạp tần số. Loại này đuổi khỏi ngành giáo dục luôn."
862, username  cô tình quay la co rõ ràng chứ đâu phải lướt qua đau
863, username  Lý đó có ai để đầu giường bảo giờ vì sợ đổ vỡ. Chỉ có cố tình sắp xếp thôi.
864, username  nó ghép hình lá cờ vô đó.
865, username  là NÔNGNÔ ĐẦNĐỘN. Video của 2 đứa đưa lên thì ai ghép? Tại sao con vợ 0 nói là bị ghép?
866, username  tại nó nói là phản biện với mấy đứa ngu để làm gì???
867," username  bọn này chỉ vào phòng ngủ thôi,chứ quá trình đi tham gia biểu diễn và giao lưu chắc chắn sẽ gặp gỡ toàn lũ 3/, sẽ có những sự việc còn lớn hơn về liên quan đến lũ vong nô mà dân mình ko biết hoặc chưa đc biết,chứ sự việc cái phòng ngủ bé … See more"
868," username  ông gà lắm, phải như thế mới đánh tiếng cho mấy bầu bên cali mở xô để hốt tiền được, xong về vn tẩy trắng thành vô ý thành rút kinh nghiệm để kiếm tiền cả 2 bên đấy"
869, username  cũng cố tình quay lại để lấy lòng tụi Cali.
870," username  kiểu muốn đớp cả 2 bên ấy. Về vn lại 1 vòng vn rồi cờ đỏ sao vàng các kiểu, sang bên kia lại /// . T nghĩ nhà này chắc kèo 3/ r, chỉ là vẫn muốn kiếm cơm ở vn nên mới văn vở với tuổi trâu thôi"
871, username  bạn nhìn cách nó quay tập trung vô lá cờ nha chứ ko phải là lướt qua đau.đang muốn lấy lòng cali.bon này đích thị là phản quốc rồi còn gì
872, username  giống vụ bang kiểu vô tình có cái cờ phía sau khi moi sang cali
873," username  Tội bán nước, phản Quốc thì Gia Long còn tấy mấy trăm năm chưa trắng kìa."
874, username  co le the
875," username  Ở Hàn hay ở Trung thì 1 vé 1 chiều. Còn ở Vn thì ko chắc, chưa gì Tuổi trẻ vnch lên bài bào chữa nhanh như điện ."
876, username  ko quan trọng báo đâu bro. Quan trọng là ae cộng đồng mạng mình đây này. Báo có tẩy ntn đi nữa nếu cđm vẫn đốt thì có mà yên đc. Nói chung là bọn này sẽ khó mà kiếm tiền Ông Cụ nhà mình nữa rồi.
877, username  vứ đi chứ rác mà cất tủ làm gì
878," username  gặp tui năm ngoái tui cũng chả biết cờ đó là gì,năm nay tui theo dõi trang dòng máu Việt nên mới biết lun"
879, username  tui cũng k biết
880, username  tụi mình ở trong nước ko qua Mỹ ko biết còn dc đằng này người ta đi qua nhiều mà ko biết là điêu
881, username  ngu hết phần thiên hạ
882," username  ngu gì tại người ta không quan tâm về các quốc kỳ thui, nhỏ h trừ cờ đỏ sao vàng mấy lá cờ khác tui chả thèm quan tâm"
883, username  thấy là vất con cụ nó vào wc hay sọt rác cất làm đéo gì
884, username  sợ thế cơ à
885, username  10 điểm yêu nước :)))
886," username  phải t là t dỗi, t đ ở luôn. Chứ ở đấy mà cất. K dây dưa với bọn p.động"
887, username  chuẩn bác
888, username  ko đơn giản như thế đâu.
889, username  kể mà thấy cờ đó mà đái một bãi vào thì ok.gio thì ngu người rồi bạn
890, username  phải có 3 sọc treo đầu nằm thì cái thủ đô bolsa nó mới để yên cho kiếm ăn ở bển chứ.
891, username  Chẳng có sự tình cờ nào ở đây cả!
892, username  có thể lấy quần đùi tấp lên che lại mà :))
893," username  Sợ lá cờ đến thế à, bên thắng cuộc mà nhục thế gặp gì cũng sợ."
894, username  sợ gì lũ bán nước uống máu đồng bào như chúng m. Đã là rác thì nên ở ngoài bãi rác.
895, username  yêu nước thì cũng tùy trường hợp.. nếu đag bên mẽo thì đừng động đến cờ mĩ.. lấy cờ ba sọc đi chùi mông thôi.. chứ nhổ.linh tinh lại mệt..
896," username  Lập trường rõ ràng như ng khác thì đã cất đi cái miếng vải rách đó rồi,,như chúng ta đây thì đi chỗ khác luôn k ở hoặc là về nước luôn cũng dc,chứ dell có chuyện ở đó vui vẻ."
897, username  thật chứ ai đời để c*t trên đầu giường mà để im được chứ
898, username  Một con bò đỏ lên tiếng
899," username  1 con 3/// khát nước thờ cục c*t cho hay cay tiếp đi con, đéo có nước đâu mà đòi phục với chả quốc"
900, username  đấy là người bình thường nghĩ thế. Còn /// thì ko phải người bình thường
901, username  nó đi diễn hàng ngày với lũ 3/// đấy . Nó cố tình chứ. Sao không thấy
902," username  nó mà dì được thì thêm quay về à , ngủ đi rồi mơ"
903, username  sờ sờ ra đó mà nó nói không để ý
904, username  đừng nói đến cái phòng ngủ mà nói thêm cái đoàn mời kêu gọi đi diễn đó nhé..tổ chức đấy với cái cờ 3soc thì hiểu luôn chứ nói gì thêm
905, username  Chuẩn. Bất cứ lý do gì cũng không thể bỏ qua chuyện này được. Đào thải bọn phản Quốc.
906, username  chắc là yêu thương đến mức làm tình cũng phải ngắm cờ :))
907, username  3 que nói nhiều quá.
908," username  có ai sợ đâu, nó như bãi cức ấy có sợ là sợ nó dính vào thì vừa bẩn vừa thối mà k có nước gì rửa đc"
909," username  cái tư duy nó ko liên quan đến chuyện 3 que bạn ạ. Còn bạn chưa gì đã chụp mũ người khác là sợ 3 que rồi tự hạ thấp mình bằng việc thơm hay thối nó buồn cười lắm, trong cái luồng này người ta đang cố giải thích việc họ ghét 3 que và hàn… See more"
910," username  Còn nếu em 15 tuổi thật thì em lo học hành đi rồi từ từ sẽ biết, chứ cái tuổi em nhỏ vậy lên đây xưng anh em với mọi người người ta lại bảo là mấy dạy đó. Lo học hành tử tế rèn dũa cái nết ăn nói cho nó văn minh đã em. Để người ta nói … See more"
911, username  Là trại nuôi chó của Mỹ đế đó mà
912,"Tóm lại về mặt đất đi, ảo mộng quá,,, tự do dân chủ quá đôi khi lại : mình nể mình quá.."
913," username  té là té thứ méo nào, dân tộc Việt Nam chưa bjo run sợ trước bất kỳ 1 kẻ thù nào nhé. Đừng có xuyên tạc lung tung và lươn lẹo"
914," username  nó mang tư tưởng và phổ biến đồi bại, giống cờ phát xít cho b dễ hình dung, khỏi thắc mắc!"
915, username  thôi em xin :))
916," username  không ai sợ cả. Chắc mọi người cũng như e: nhìn thấy cứt thối khắm thì dè bỉu thôi. Tránh ra đỡ nhẵm hay ngửi phải, cảnh báo cho mọi người biết. Chứ ai sợ đâu. Bác nói vậy sai rồi"
917, username  ko phải là sợ. Mà là kìy thịy. Bạn ko chơi với cớt bao giờ lên bạn luôn phải tránh xa nó ra
918, username  Run sợ chỗ nào???
919, username  thế có công nhận lũ 3que là đám bán nước chưa?
920," username  M ko phải giả ngu bởi vì m ngu thật mà . Chúng t không sợ bọn 3 que, chúng t chỉ khinh bỉ chúng nó thôi!!!"
921," username  Không phải là sợ vì B52 Mỹ còn đéo sợ , sợ gì cái rẻ lau đó. Vấn đề là nó phản cảm... 1 cái giẻ mà nhiều người muốn quên đi ( cả bố Mỹ nhé). ok chưa bạn?"
922, username  Bác nói hay Liên Hợp Quốc nói vậy?
923, username  sợ cái quần. Sợ mà đánh cho chạy tụt quần. Nhìn 3/ đi. Mỗi lần có sự kiện nào mà ai cầm cờ đỏ là tụi nó điên cuồng cắn phá. Biết vụ mấy e sinh viên bên Úc đợt trc rủ nhau đi coi VN đá bóng treo cờ đỏ bị bọn nó khủng bố như nào ko? Nếu n… See more
924," username  tất cả những thằng bán nước này bay giờ mà mọi người cùng xử lý bằng cách block là chúng nó sợ nhất, vì loe ngoe vài thằng lải nhải mà bị cả đất nước Việt Nam block thì chúng nó tự sủa cho nhau nghe àh. Thứ chúng nó muốn là được công nhận, … See more"
925, username  anh thấy đâu có ai sợ mất nước bởi bọn ba que đâu em ? có mình em tự biên tự diễn hả hay em làm diễn viên hề ? theo anh thấy thì em phản hồi cmt cũng khá nhiệt tình thì chắc em cũng không bị mù chữ nhỉ ?? thời buổi nào rồi cái gì không … See more
926," username  Thằng ba que dơ 1 nhưng cái thằng cố tình hỏi thì dơ 10. Có biết thì đi tìm để biết nó dơ thế nào. Phân tích rõ oai, nhưng lại giả ngoo đi hỏi người khác"
927,... Vừa khen bạn khôn hơn 5 phút trước ... ( trung quốc đã từng xâm chiếm nước ta 1000 năm rồi. Mỹ thì... ... Chắc hết đời bạn nó chưa có đủ dũng khí quay lại đâu
928, username  thế nên nhìn thấy cức phải tránh xa
929, username  cái giọng sao sợ 3 que thì t biết mày là gì rùi. Người ta ghét người ta chửi thì m bảo là sợ. Nếu m không biết gì thì mày sẽ hỏi sao chửi 3 que quá vậy. 3 que mà thích giả nai.
930, username  chậc chậc bọn bán nước bán đất cho Tàu xứng đáng bị chửi đến muôn đời đúng ko bạn. Đánh ko dám đánh mà đầu hàng giặc. Chúng ta nên chì chiết lũ bán nước đúng hông nè. =))
931, username  m sợ nó thì kệ cmm chứ sao m lại nhai đi nhai lại cái câu “chúng ta sợ …” chó nhà t nhai dép cũng ko nhiều như m đâu :)) .
932, username  nó nói chuyện kiểu khiêu khích chờ mình sơ hở để chụp ảnh màn hình cắt ghép mang đi bêu riếu thôi. Nói nhiều với bọn bán nước này làm gì
933, username  ủa đ thấy phản biện nữa
934," username  thời đại 5.0 rồi ko đánh tráo khái niệm được đâu =))) t hỏi ngược lại b là ra đường gặp cứt thì tránh hay đớp, mà đám giẻ lau 3 sọc kia thì khác gì cứt đâu nên thằng nào đớp thì phải lên án thôi =)))"
935," username  ko phải sợ, mà bạn thấy phân trong nhà bạn có dọn không?"
936," username  trong lịch sử thì mấy đứa ba que xỏ lá thường bán nước cho những kẻ giết hàng triệu đồng bào VN, thả bom dioxen hết cả miền Trung VN, xây nhà tù Côn Đảo, Lạng Sơn, giúp hơn 300.000 phụ nữ ở miền Nam được tiếp cận với nghề làm đĩ nuôi số… See more"
937, username  3/ trá hình cứ đánh tráo khái niệm với chả chụp mũ :)))
938, username  khoan đã anh bạn trả lời câu hỏi của tôi. 3que có bán nước hàng giặc ko?
939," username  này phải gọi là thấy cái xấu mà ko lên án nghĩa là chấp nhận cái xấu đó xuất hiện như điều bình thường ấy, giống như đứa nào ăn c*t thì kệ nó nhưng mà nó ngồi cạnh bạn để ăn và mời bạn ăn cùng thì bạn thấy bình thường và chấp nhận đc ko?"
940, username  tại anh thấy em ăn nói mất dạy với người lớn thì sao anh phải văn minh với em ? mấy đứa nào dễ thương anh mới tử tế thôi em anh có dạy và có nhận thức để biết đọc bài viết và biết nó nói về cái gì chứ không giống em. Với anh bảo em c… See more
941," username  chỉ có dân Việt đọc là hiểu.còn 3// thì sẽ phản biện lại ngay,lũ bán nước cầu vinh,ham sống sợ chết,sợ dơ bẩn vì lũ 3// này bôi xấu,làm bẩn hình ảnh của đất nước Việt Nam đấy.dơ với bẩn có nhiều loại lắm,nhưng loại dơ,bẩn như 3// này thì khác lắm"
942," username  tôi đang tranh luận để xem noa thở ra câu tự chửi thằng bố nó bán nước đã rồi off ông ạ, mà nó k dám chửi ông ạ kkkk"
943," username  thế mới phải thải ra chứ không lẽ giữ lại, sinh ra cái bồn cầu làm gì?"
944, username  Trong khi chính phủ VN xã hội chủ nghĩa có các chiến sĩ hy sinh anh dũng trong trận Gạc Ma. Thì bọn vnch đầu hàng dâng đảo cho bố Tàu. Qua đó có thể thấy VN xhcn là người giữ đất cho VN còn bọn 3 que là đầu hàng bán nước.
945," username  sợ á, có đống cớt giữa nhà thì phải dọn thôi chả lẽ để ngửi cho vui :))))"
946, username  ô hợp quốc vs 3 sọc thì khác j nhau đâu
947," username  mấy ông rảnh thật. Bọn này nó như c*t ấy, muốn sạch thì phải dọn đi thôi chứ ngồi tranh luận vs nó khác gì lấy que chọc, nó lại thối um lên. Block con mẹ nó cái thằng 3/ vào cho đỡ thối đi"
948," username  nói chuyện ngáo ngơ giống thiểu năng nhỉ ? khát nước mất hết lý trí rồi à, cách nói chuyện của trẻ con để gây ức chế cho người khác nhưng đâu có biết trông như 1 thằng đần đâu"
949," username  cảm giác như cái vụ ăn c*t ấy. Mấy người đó họ muốn chống phá chủ yếu để nước mình loạn lạc, dân mình sống khổ thì họ mới vui á. Đang sống yên ổn có thằng nó phá thì mình lên án thôi, bt mà. Cái này là ghét và muốn đập cho vỡ alo chứ ko sợ nhé."
950,Vậy sao tụi nó không dọn hả  username ?
951, username  bán nước là thằng ml Nguyễn Ánh và bọn 3 que thua trận tàu khựa làm mất đảo của vn đấy.
952, username  3/ ý chỉ lá cờ của vnch ngày xưa. Tụi này là tay sai của mẽo. thời chiến tranh m-ỹ nguỵ. Đến 30/4/1975 đã bị giải phóng quân đáng bại phải chạy chốn qua cali ở. Nhưng đến nay vẫn có 1 bộ phận vnch ngày xưa chuyên chống phá bôi xấu và t… See more
953, username  súc vật ba que bây h còn giả bộ là người trong nước nữa. Cái câu ba que chửi bò đỏ bò vàng là biết mày xạo l rùi.
954," username  m có bao giờ bị dị cứt vào mặt mà không sợ không, t thì hơi sợ đấy, sợ bẩn"
