comments,label
thằng trốn trại.,2
nhạy cảm phân biệt miền lôi quán . bú đồ lắm,2
bọn ba que chả đếch bọn tây tổ tiên xong lưng chía súc vật tao tao cắt cổ,2
ngáo lắm,2
chữ vị giáo sư tiến sỹ nhỉ.chứ tiếng việt tây chẳng tâyta chẳng ta,2
vầy bảo tiệm ế,2
thằng add giòng bại não đi bú fam kiểu phân biệt miền,2
thèm đi mỹ ngụy,2
thành kiểu ảnh hưởng chất độc màu da cam trình độ văn ho đéo tiểu học học ta ↔,2
chúc chủ tiệm thất bát gia đình tan nát xe hạn.,2
miền nam tao ghét bọn phân biệt miền vãi lồn đẻ lành lặn tư ngu dốt,2
chúc cửa tiệm cháy,2
âu sít lý bình luận thiên tài miền nam vui vẻ hoan hỉ nam kỳ bắc kỳ phân biệt công giải phóng vứt đi,2
tỏ mẹ mày địt hàng xóm đẻ 1 súc vật mày,2
mong chết xe tông,2
chúc 30/04 vui vẻ tràn ngập tiếng cười gia đình thân tiếng khóc 30/04. chúc cửa hàng sống cửa hàng nhé. ngu,2
tội thể tha tội cút,2
dạo nghệ sĩ pr bẩn thằng muộn tẩy chay,2
nạn phân biệt miền bọn ba que công kích đéo đi bú nổi tiếng bọn nó. tưởng ngu. bọn đú chúc mừng,2
showbiz việt ấp lò phản động cầm đầu hội hoài linh trấn thành đàm vĩnh hưn . đồ nè dây mơ rễ má 1 bọn chống phá kích động lắm,2
tư tưởng cut mỹ,2
tư tưởng đớp cứt bọn tây,2
mấy thằng tư tưởng phân biệt miền thương cụ hy sinh giành độc lập đất . mày thằng đẹp lắm hả facebook chê bai,2
ừa mấy bò đỏ yêu đâu. hô hào vang dội lương dư luận viên êm bạc liêu hả,2
đất đổ bao xm độc lập bọn ba que lá cờ hoạt động hội công khai đuôi vô tình. hoạt động phản,2
hoành tráng tao bẻ 2 mày đoá,2
bắc ạ. né bạn. thay bực bội đón 1 thái độ tích cực nhất. thân bắc nam. ví dụ,2
thằng chủ tút bảo mày mày nhột xồ cắn ta chó dại cắn đi ta chẳng mày xưng lạ tỏ gũi thực tế đéo rãnh mày thân,2
quần què ngại tổ trưởng tao bắc tao bắc bắc kỳ suốt. ngại bọn nắm thóp trêu ghẹo thắc mắc mẹ sợ mấy,2
câu đầu óc quán ta đừng chúc sập tiệm thua lỗ,2
mày thua tiền tập thằng,2
bọn f1 f2 rapper gang gang da đen đám đấy lũ lượt cơm cộng sản bây. bát cơm ngon,2
thắp hương bố mày,2
ma mảnh liều dạng thể thủ đoạn mục đích cảm giác,2
thằng ma,2
ba que máu ôi đám nghẹo sĩ phia nam chửi tan nát củng kiếm cơm kiếm cháo thuận lợi ba má hạ xong đời bòn tiền mỹ đế ứt vàng lưng dân tộc lũ khốn nạn.,2
chồng ta đăng 15 5 chân giấc mơ mỹ thành hiện thực đấy,2
chủ yếu hai vị xử lý truyền thông kiểu lập lờ đôi thể hiện quan trị. mục đích thể hiện quan trị show hải ngoại kiểu tiền mẹ ta. được.,2
vợ chồng trở tiếng việt kiếm tiền việt đất việt nam. tẩy chay triệt hơi phí.,2
tao lồn mẹ mày kia mày,2
du học sinh treo cờ việt nam đấy bố ất nhục,2
mày đàng quàng nha thỗn lò,2
cháu nhi đồng rảnh cắn kinh vãi đái,2
visa đi du lịch kiểm tra in hài chứ. cười té mẹ ghế ngài ạ. chả nhẽ hoàng không. đéo biết. ngu,2
bọn mặc bẩn áo đi cút cháo đá bát,2
đéo đi đấy ý. phận tha hương ngậm mẹ mõm kiếm sống chí năng lịch hố xí trời bé lỗ,2
chả nhẽ 1 butterfly break trưng visa đôi ba hạ đẳng,2
wink lash nhécái ngu treo tao,2
wink lash điên mày tao show bao nhiêu bang mỹ tao đi ngu ngậm mẹ mày mõm đọc tao viết kia kìa. visa mỹ ảnh thờ mày bằng. hãm lọ,2
ví dụ câng quỵt tiền thái độ hot hả,2
quân sư hiến kếk. thằng tạc tượng kìa. miệng sủa adi đà phật kinh phật,2
kiến vợ chồng mù,2
mỹ cdb cắm cờ đất mỹ tư nô lệ ngấm máu,2
coi mấy thướt phim ta hành hạ tra bao nhiêu căm phẩn nhiêu. vụ chìm,2
húp tiền việt bợ đít bọn đu hả ta. khôn,2
tướng rượu thịt,2
đời lắm thằng dơ,2
lồn mẹ mày bè mày bè mày thằng ranh,2
mày bắc phân biệt miền bạn. phát xét tiên nhé. đi xkld quê đi đất rồi. lâp gia đình rồi.,2
giò nhu than kinh chi,2
địt cụ thằng ranh phản quốc này. bố chúc tiệm mày thất bát sản,2
truoc benh no vi thay thuong. gio thay no căng khug,2
cầm cờ đỏ vàng chạy 1 vòng nam kỳ chửi lũ cộng hoà cầu tao tin.,2
tu nhiên cai khug chi chu no lam,2
cường khùng luôn. nhan sắc nghiệp tiêu tan lụi tàn,2
um khug bay no nắng lam lui,2
khùng lắm chịriết ưa 2 vợ chồng luôntừ hồi quen thằng cường cúng tan nát,2
nghề tu hành hót đớp,2
ba que cút mẹ đi hạng tao chửi thúi đầu,2
chùa tiền tiền xây đẹp tụi mày bớt dã đi chùa đẹp bọn mày đi bọn mày củng chùa đẹp đi,2
cố tình định cư,2
eo ôi tưởng học học đi học tư tưởng phát xít thằng de len sy ky tao mày nhá nga vkhn cuba bố mỹ mày dãy đành đạch gái,2
sợ bọn vô ơn phản quốc nha ghét căm thù bọn cầu vinh bọn thịt đồng bào rình mò cắn đít dân ta,2
vấn tao 1 chi tiết dung nam mời mua giải đồng ý. giải đi btc giải haha câu tất nhiên tiền. tao,2
hứa trời hứa đất việt nam cộng sản đói lũ lượt. tâm ba que mồm hát đất việt nam cờ đỏ vàng tiền. ta gọi cơm cộng sản cố tình nha,2
tai dơi kiểu nhai đầu chủ nợ,2
thầy đớp kỹ,2
dạng,2
chó,2
sập quán,2
sánh chuẩn kia mấy thằng cố cãi cố ta sẵn phòng. xời phòng adn vậy.,2
phân biệt đấy gì. câu viết tát thẳng mặt thực lí luận,2
vỡ nợ dẹp tiệm,2
tao miền tao chúc mày thất bát 7 cháy 7x7 49,2
2 sinh viên mắt đui tiền,2
bao jo cháy .cháy đu,2
dòng tóm ba que sơ lọt cờ vô hứa lộ đại,2
dân khổ .chúng đem tiền đi thiện ba que mong cấm vĩnh viễn chân việt nam,2
bọn ba que đài thọ nó. nghệ sỹ tầm ảnh hưởng quan sát tôn dân tộc. đập mắt nằm 1 xó,2
tào lao,2
khùng thần tượng chi,2
hannie monaban ước chó ta kêu chó kêu thân chó. chó đuổi đường chó,2
hannie monaban ôi vãi hồn ngu đấy à.,2
khéo mắm tôm quán,2
hannie monaban bọn hống hách đống facebook giả dám facebook đi ủng hộ bọn ba que.nhục lắm.ở đấy unhr hộ ba que đi nhé.không đảng csvn quang mày sống bêu rếu,2
cắm xe xong đéo tiền chuộc báo công an kinh khôn,2
haha.toàn mấy đứa chẻ châu mày chửi đồ mỹ sài hệ nhạy cảm kín á. phân biệt tổ quốc thể chế trị cười ỉa.,2
gia phả hình tròn.tưởng ho.,2
hannie monaban mày tao mày việt nam mày cút đi màviệt nam mày biển 1 cá ươn thôibố mẹ mày chết mày học chốnnói ện kiểu mỉa mai.,2
mong quán sản,2
hannie monaban vai lồn chế độ cũ đấy mại dâm ma tóe nghiện ngập vãi. tiền mỹ bơm lính mỹ hoạt động laik hòn dai viễn đông,2
tao đậ mày vỡ mồmày mày nha thỏo,2
hannie monaban chế độ cũ tham nhũng hả thằng dốt,2
ba râu há há. ba que chế độ cũ mad gửi hình chi vậy. ngưỡng mộ chế độ chế độ sống tham nhũng hiện tại. dưng 1 hệ đổ thừa sợ hãi ba que hài qué đi thoy,2
cầm cờ viêt nam chạy 1 vòng bọn đu đi tao,2
mắc ta suy mày,2
ba que mãi ba que,2
btao tụi mày,2
à. tao đoán 1 biển toang,2
vô liêm sỉ,2
mấy thằng kia nín mõm haha,2
chả sợ đi bọn ba que dám đăng nổi hình thân trang cá nhân,2
tưởng bọn nam kỳ chó xử bắn sót tài,2
má điên zảy trời,2
lồn bắc kỳ,2
thể cãi lũ ngu mày thắng,2
viết dòng clip đi ỉa cờ ba que cầm cờ chạy vòng nam kỳ hô việt nam muôn,2
thầy mõm,2
ê má mỹ việt nam rành sánh ngáo ta,2
đấy vút đấy mỹ công đấy cờ mày hiệp ước quốc tế thằng đầu đất,2
lẽ logo rô vây trái lựu đạn nha. mãi eo,2
không. chán cháu. gốc gác tổ tiên miền nam miền bắc di cư khơ me sinh khí lịch sử hộ hở bắc kỳ trung kì nam kỳ. đoàn kết y thằng campuchia đánh chiếm,2
1 lò ba que xỏ lá,2
học phân biệt miền.,2
việt nam hả ghê tư cũ tưởng án tư ta kỹ mấy báo giật tích dậm mắm muối câu chuyện.,2
lồn,2
chỗ đấy sạn mày ngu bẩm sinh mày luyện tập ta đi thi đấu giải quốc tế đéo đánh nằm sạn ngu mày bảo đéo fuckcuoc,2
tởm lợm sư xàm,2
vô học,2
ho vện vàng . giấc mơ thành đivề chi nữa.,2
bảo lũ thất bại,2
bắt thằng lồn ba que dân tộc việt nam cờ đỏ vàng bọn tao suy bọn tao bọn hậu duệ thất bại,2
bố thần kinh haha,2
mù,2
đọc bình luận hài vãi lồn,2
phân trần khẳng định hội ba que khát,2
đú xu hướng bẩn nghĩa mày tiệm mày mày bọn phản động bọn phản động phân biệt miền. mày suy mỉ,2
độc mồm độc miệng,2
nghệ sỹ bọn,2
mắc ôn chấp mày đại diện cõi việt nam tiếng chấp hãm lồn,2
ngáo,2
dí chết,2
chúc buôn đen rẻ,2
cháu sai cháu ngu,2
1 ổ ba que nằm vùng.cãi qué,2
khùng trời.,2
chúc sạt nghiệp,2
lá cờ ngụy quyền quyền bù mỹ lập cắt việt nam ta độc lập. bọn đội đánh đuổi mỹ công khai chống đối quyền việt nam hiện bơm tiền mấy,2
vô nam sống kiếm tiền đi đừng u mê .,2
đầu buồi tao,2
thằng 3 chợn,2
bố,2
f2 / đích thị bàn cãihát thiện tổ chức phản quốc vô tình cố tìnhtội phản quốc tội,2
việt nam ta giẻ lau sàn treo kia tao tụi mày giẻ lau lắm ngặt nỗi lau sàn sạch treo,2
sơ sơ bạc liêu viết thư đi tị nạn đi campuchia xây xong đập chả miền tây lo treo cờ cờ mấy bò đỏ ngắm đi tao chả quan tâm cờ,2
mưa ngập quên mày lo tao chả quan tâm cờ đu chạy chó tang tinh thần quan tâm cờ đập điếc tụi ba que bọn mày lồn,2
áo cà sa đi thầy tướng cướp .,2
bắc kì kì thị cực kì luôn. dân miền nam chửi địt mẹ lũ bắc kì. miền bắc. chủ tiệm kia đôi thể bắc kì dân miền bắc thể bợ đít mấy nam,2
sai rồichả đi sánh lũ súc sinh hết.,2
ba que xỏ lá. di chêt bẹ đi chệ,2
tụi bây óc trâu ghê. việt nam nghèo mì gói lái xe máy hít khói bụi văn minh hiện đại lắm vậy. chửi ta hởi nam kỳ hở khát nước. đời qa mỹ châu âu. đố kỵ ta vây soi tụi nổi tiếng,2
chúc chủ tiệm cút,2
phản động khai trừ lập tức,2
ứa vãi lồn,2
tui ứng lũ,2
nổi bọn trẻ ranh adua dốt nát dã man . cố,2
mắc mệt mày,2
kiểu tiệm dẹp,2
kêu gọi báo cáo chết mẹ thằng phân biệt miền đi chúc chủ shop 1 sản 3,2
ta xếp đổi ngáo,2
ngu hại vợ ngu. học lịch sử,2
tẩy chay mẹ đi nhanh. ngọc mai hồi trừ đảng chắn lý nhạy cảm,2
ta lỡ chó chó tẩy chay đẻ trứng,2
đổi biển dẹp tiệm,2
khôngcần xét nghệ sĩ yêu dân yêu mến.qua mỹ ôm cờ ba vạch kẻ chê bai dân lười nhác bvh thẳng cấm sóngthu hồi danh hiệu phạt 75 trời coi,2
đừng minhthanh nga câu sơ lọt camera lọt lỗ tai. nghĩa sai lộ nùi dẻ tụi ba que hổng sai.,2
30/4 mày chạy ẳng,2
mấy tiền sư sãi .,2
3 bể mày đem miền trò cười hạ,2
phân biệt miền ghét,2
bảo cức chả nhẽ bthg lá cờ / chấp mõm bảo yêu tình nguyện viên thân mật,2
chúc mày dẹp tiệm,2
chúc quán 1 cháy 1,2
vợ chồng nghệ sĩ xuất thân việt nam cãi cờ / vợ chồng,2
tiền bọn ba que bọn khử,2
nhá chừa,2
lưu manh đội lốt,2
tao dám phản ba que bòm đấy,2
diêm nợ xé giấy nợ kêu hoảng sợ sợ chưa. thể nợ 600k nhân tiền tỷ miễn bình luận nữa.,2
nghèo tư nghèo tình dân tộc . haiz chán . kêu người.u .,2
ráng coa tiền đi đi ạ. trẻ non ta sống trải nghiệm chứ.,2
miền trung . miền tây lắm lắm . đầu thằng xấ.u xấu nết . tư đít trâu .,2
cố nha tao mày bay màu,2
dơ trai áo mặc mua hàng fake nghèo giàu thèm,2
4 thằng miền bắc . đại diện miền . chê trách . cỡ xấu mặc miền tây .,2
cọc nết đ’ tư sai đi phân biệt miền . ta kêu . tao nhắc tao dân miền trung.,2
mõm nhôm đi hơi trai . 21 ghê . miền trai xui . 2 đứa miền tây nợ .,2
bọn hốc tư đấy tư bọn chống phá đầu độc haha,2
đồng nghiệp bè bắc tao đứa phóng khoáng tiền bắc chi . ta sống kiểu . thân tao mấy đứa miền tây mượn tiền biệt tăm . xui .,2
trai dân miền trung tụi quanh lo cấy chó nuôi gia đình . đấy kêu phân biệt miền gia phả hình tròn mẹ đi tụi nguỵ tư vầy .,2
địt mẹ thần kinh,2
tết phim tao xào lăn mày,2
mặt thằng trọc mặc áo cà sa lộc,2
đi thiện công cụ kiếm nổi tiếng tiền nó. bày lể nuôi toàn tiền tài trợ nổi tiếng hết. khoẻ hẳn facebook lọt top 10,2
món tủ thịt chó í,2
súng thằng ba que điên điên 1 viên ngủm,2
ngoan cay loài chó / chó mỹ nuôi việt nam xưa việt nam cứt mỹ đớp cứt mỹ đồng uống cay lắm,2
ê bắt dog ba que,2
ba que xỏ lá giọng điệu cay cú,2
thương thay kiếp đu kàng quê hương chẳng cố hương chẳng thống bắc nam 304,2
lươn lẹo,2
3 tào lao kêu vinh quang,2
dân tộc dân tộc lưu vong bọn ba que quốc tịch mỹ liên quan dân tộc việt nam sợ kích động,2
hannie monaban đuỹ đi đuỹ cạo móng sống việt nam đéo thể tầm gửi lan hoang,2
mẹ đám,2
chó sủa lạ,2
lôi xoá bình luận .,2
21t cháu đạo đức cháu học hỏng,2
loài ngửi khứu giác khôn lắm,2
gia đình sum họp đấy cờ cắm đầu giường khát,2
hannie monaban mày cut mẹ sag kia sốg lồn,2
may mấy đứa bình luận ngu thẩm phán đéo chứng khai xét thái độ 1 video suy luận vay rảnh kiện xong xử án xã hội loạn mẹ,2
hannie monaban việt nam nhỉ.,2
hannie monaban đẻ mấy đau lồn,2
chặn tui tui đi khắp miền tây thằng .,2
cháu wifi địa bàn em. xoá mày chặn facebook luôn. buồn,2
tiền giang kiếm coi. đoàn xây tình nghĩa cháu em. cháu đi học đời tái hoà nhập cộng đồng hỏng 1 hệ. xấu mặt 63,2
chào cháu minh đầu tiên hoan nghênh cháu vô facebook chơi. niềm vui bao cháu phân biệt miền lẽ lịch giáo dục lắm.,2
ìm trãi nghiệm ki . bình luận sặc mùi phân biệt miền . tưởng khôn,2
gái thằng bồ chí ghê,2
mày phí thời gian giáo dục hệ tóm mày ghét dân bắc ghét sẵn,2
21 trẻ non lắm sâu kia nam bắc sống đánh giá hơi xót.,2
lý luận kp ní nuận cháu à. tranh luận. thằng sai tả thằng đấy thua rồi. thương cháu,2
mai mấy bắc sinh sống miền bè . gửi ta đăng .,2
chê ta nghèo keo đất đẹp miền tây mày dân bắc ta mua dự án đấy học nha.,2
miền bắc vốn sống toán tiết kiệm tích góp cải hào sảng miền nam thời bây kinh tế phát triển bắc tiền nam,2
trai fake đầu đuôi áo mặc fake huống hồ chi trai dừng . mai .,2
hannie monaban đất ngan đéo hannie monaban mày tiếng việt đuỹ đéo chữ thằng mỹ hào lồn,2
day đểu u mê,2
dỡ lắm hèn to mồm .,2
sinh viên tưởng,2
nghề buôn thần thánh mấy giàu.,2
hoy chi mấy trang dô táp,2
kẻ bắt cá lố bịch.,2
minh cờ chó chẳng tinđã phát hiện 1 ổ.,2
miền trung giọng bắctrungnam giọng miền tây bè miền. 10 đứa nam tận 5 đứa phân biệt miền,2
nhầm sinh tố bơ cứt 1,2
ngáo chị.,2
đéo đọc kiểu thành phản động. học xong hẵng đi hùng bàn phím nhóc,2
gia đình phản động sống,2
đél đi phân biệt miền thằng óc iồn xong ta nhảy dựng đốt dái cỡ mày chame chó canh mấy thằng tây lông lạ thằng hoang,2
thằng ba que khát đánh chạy chó cụp đuôi đu mỹ nhục tiếng chia rẽ dân tộc. súc sanh đầu thai bao nhiêu súc sanh,2
cút mẹ mày đi. chửi lôi bố mẹ đây. suốt đi cà khịa ta chửi bố chửi mẹ thằng bất hiếu,2
chúc mai bố chôn thản dal,2
chúc mai bố 49 vui vẻ,2
ngon ngu,2
y đầ di truyền ml`,2
màu sống máu kia nhuốm máu bắn giết đồng bào,2
nhấttởm nhấtmàu quỷ,2
phân kali sướng đón mấy thành viên chống cộng,2
mấy nhóc đọc vấn đề mắt lé bố mày chửi bọn nam kỳ phân biệt miền mả bọn mày não cặk . học thức đéo đòi bắt bẻ,2
tao ba que tao miền trung làng xóm tao ghét bắc kỳ,2
bắc kỳ chả vấn đề bọn vấn dãy đành đạch,2
công đồng hả hả noi mắc ỉa cai địt mẹ lũ mày vân đề khăn nhu lũ sỹ no lai khoc lóc khan gia bon tao quyen góp đấy nhu vu đức tiến . cai lũ hoang đéo thua nhân địt mẹ đoi đau tranh giành lai đat nuoc xong,2
3 miền tụi tao khịa đấy chửi sum đấy . 3 miền tụi tao tụi nhảy vô chết mẹ mày,2
ba que xỏ lá,2
mấy thằng tinh trùng khuyết tật mày não suy lồn,2
mày xã hội ta đâu. ganh ghét mày xây trường học trẻ mày yên ta đi. mày mày vi phạm pháp luật,2
1 mày ngu thể sai 10 tiên ngu,2
mấy thằng khùng câu bắc kỳ auto nam kỳ óc trái nho y sôi đổ háng,2
học giải lỗ đít tao,2
trang ghẻ lèo tèo,2
ảnh xạo lồn photoshop đéo,2
lợi nhuận thầy ma,2
bắc kỳ tiếng thếhay,2
2 đần ngu,2
yêu kiểu ngu im mẹ mày đi thằng mày nữa. toàn lũ ngu tưởng,2
khịa kêu rạng danh kaka. óc,2
khầy đi nấu đi,2
chúc mừng tiệm đóng cửa,2
ngu si đần độn,2
mày chó vô mua hàng,2
ngu ngục,2
tao câu quy chụp tiên phò tao mày tao khẩu nghiệp não à.,2
lù lù đầu giường mù thấy.,2
thằng y xưa massa quán tao tố massa mò vếu bo nè,2
treo quốc kì kẻ thắng toàn kẻ thua ném cớt mặt ta đâu.,2
bố thằng ngu chất bắc kỳ 1 phân biệt miền pháp miền bắc ta đô hộ địt mẹ bắc kỳ never die die thằng bố mày,2
phân biệt bắc kì nam kì mày bọn ba que,2
mấy ngu nè,2
gọi kệ cụ đi bắc bắc kỳ bắc kỳ,2
đụng tổ quốc ngã xong bọn cờ ba que ngoại tao tao chúc phúc hàng hang hốc mi đoàn tụ cờ ba que,2
phàn biện ngu vãi lồn vẻ,2
chó chó lạ.,2
sr tui tag nhầm tui chửi quỷ chửi,2
sợ dẫm cứt đường,2
mày tưởng ca việt nam dốt mày bắt bắt rồi.,2
ui toàn phản động nhồi sọ,2
hòa đông 100 triệu dân việt nam hiền hồ thủy tiên hoài linh fan dổi tẩy chay chìm thôi. fan việt nam xưa,2
toàn bọn bò đỏ luận. internet thị phi,2
vô học. ta hàng chúc thất bát đời đời kia. chờ đấy luc sạch ngơi bạn.,2
tưởng,2
ngu cố tình,2
mày bu xu hướng bẩn quảng cáo cửa hàng . bắc kỳ bọn bất mãn phân biệt miền . mày lý ngu xuẩn động lực che đi não trạng ngu đần độn mày .,2
tiệm kia cạch mặt tố cáo đơn quan chức năng xử lý,2
logan phân biệt miền sức lan truyền câu sogan bắc kỳ love viet nam kiểu maketing nửa vời,2
ta động lực ta bôi xấu bôi nhọ mỉa mai chả động lực,2
lộ nguyên chất bòn rút tiền việt độ mặt dày này. thủ môn bi trung quốc lồng đường lưỡi bò vô giải đấu nghỉ kiểu,2
giải liên quan / thân đảng viên nghệ sỹ giẻ kia đầu giường trừ bõ giấc mơ mỹ hoàn thành dân đen khinh nha.,2
đấm vô mặt đá,2
gọi bắc kì đi ôm ngô đình diệm đi,2
bố mày bảo thực dân mỹ gọi đéo mù bố ghi 1945 miền bắc miền bắc đéo bắc kì,2
ngu tỏ vẻ nguy hiểm bắc kỳ nam kỳ trung kỳ thằng pháp cai trị liên quan thằng mỹ nam kỳ trung kỳ chả thèm quan tâm kêu vớ vẩn tâm miền bắc tỏ cay cú sôi,2
thương hiệu % phân biệt miền động lực .,2
đừng câu ngu lợn 45 miền trung thực dân mỹ đô hộ miền nam tận 75 giải phóng thàng công miền nam thực dân mỹ nhồi nhét tư tưởng ối dồi ôi,2
nguyễn quý bắt lồn cung lê mặc quần vàng ba que đỏ chụp ảnh cờ vàng việt nam đi chợ . đừng cực đoan ta treo cờ kệ mẹ ta. nghệ sĩ treo cờ đài loan sát tq,2
trai mấy thằng nam kỳ ba que 30/4 cay đăng linh tinh . dân ta sử ta đâm cãi cùn nóng mắt,2
tệ đi đấu tranh giặc dốt kệ mẹ nóđi bạnnhững thằng ngu bọn phản động nhồi nhét vô phương hướng,2
mày đéo học lịch sử mày đéo đọc kệ cụ mày bố địt quan tâm mày bảo bố mẹ tao loạn luân gia phả mày xoay vòng tao chửi mày cặc bảo tao đéo chửi ta mày chửi tao mày quyền ngôn luận địt quan tâm,2
não tao xui tao mua xe độ vario đi báo đời báo báo mẹ. bắc kỳ nghĩa nhau. tao tao đéo quan tâm tao thời gian mấy nhảm nhí mạng.,2
mặt hiền chỗ diễn nét hoảng sợ,2
dốt nguu nguy hiểm. bắc kỳ thời minh mạng lận cu haha,2
gớm,2
mặt xé giấy sợ chưa. tao đợi hiện nguyên hình lũ fan ngu ngục,2
tao bọn tao lo mày đéo loi choi ngu ngục,2
giấc mơ mỹ thành hiện thực ếch chết mồm,2
câng câng mặt vuốt tóc cười nhếch mỏ. sợ,2
lá sen y chang não mày sống mãi thấm toàn thấm cứt ki,2
âm binh,2
mặt gian cặp măt láo liachứng tỏ dối,2
mặt hậu xé giấy nợ vênh váo,2
hơi cực đoan má,2
thừa chiến dịch cố tình tham gia vô tình cút đi khuất mắt,2
việt nam đống fan tẩy kiểu hội ba que đông lắm thằng đờm kìa,2
việt nam ta hiền iran triều tiên khéo phong sát mẹ bọn táo rào sung.,2
phản cầu vinh cút chuyến dám bén nữa. giấc mơ thiên đường nam kỳ thành hiện thực,2
cờ ba que chụp hình dốt 2 ba que quê hương,2
dơ rửa dơ máu rửa ba que dơ mắt,2
giải ba láp ba xàm ba que . lêu lêu,2
ba que ba que đéo nhiềub,2
bọn thịt khg thương tiếc.,2
thoát việt mẹ đi tha hồ mỷ bơ thừa sữa cặn qu tuyệt vời,2
điếm thúi mặt yang hồ hắn xé hắn dạng mô nghe.,2
chúc quán cháy thành rác mấy thk phân biệt miền,2
phóng khoáng xu hướng bọn occhos đi chấp trêu vui,2
việt nam lũ ba que ôm mọng quốc chả,2
đấynói cãi bắc kỳ thực dân mỹ gọi chia rẽ miền bắc miền nam thời đô hộ hào quán to tổ bố vô học xứng,2
sống đàng hoàng laà thô lỗ chi bố bố ghét,2
tao chó mặt,2
mày câu não mày vấn đề,2
ngu dốt dai,2
hào sảng qu ốm bệnh đi vay bố mẹ già đi đi móc bọc vé,2
đấy yêu treo cờ ba que thiện dân mỹ tao dân việt nam nè tụi mày kính tụi mày xe đi tao xứng tôn trọng,2
nhiên dí ta mãi sai lầm. trưa cơm dí tiếp,2
ba que,2
não thấm kệ đi mày,2
xoá chi trai sống . dơ,2
tất nhiên tao lẫn sơ thẩm phúc thẩm đéo mụ trang già mày dắt mũi ròi,2
mày khôn quỷ già ạ. khôn mỏ hô giả tạoo dắt mũi,2
nghệ sĩ bẩn,2
tao dàn xếp cố tình bọn nam kỳ ly đéo đầu giường bé tí ngủ va đổ mẹ mặt,2
hi vọng mày đừng dạy gái mày xé nợ tội bé hv mày ngu mày,2
1 dõng dạc bố mày ba que cờ zàng muôn,2
may bè lết sài gòn khúc khúc liền trai .,2
. khổ . người.u .,2
móm sống tệ,2
ngữ phân biệt mày trai . mây tầng ốp mây tầng . tư thức c’ phán,2
sống ghệ dám đăng hình . tệ,2
chán dán bò,2
thằng tu tập,2
mỏ toilet địa ngục tầng 7 thái sơn vương chờ mày trọc sám hối bồ đoàn,2
tao nam dân gốc sài gòn bọn phân biệt miền dọng vô họng,2
bọn báo trẻ 1 ổ phản động núp bóng nhân quyền,2
cháo đá bát. ba que xỏ lá. vợ dại chồng ên chồng ngu vợ cản đôi tiền cầu xô,2
phắn mỹ đi giấc mơ mỹ mày sạch đất,2
lí luận thằng sai tả học quan trọng,2
thời 4.0 tui tui .chứ mấy sư đầu trọc này.,2
bé nha mụ kia vay tiền chả hà cớ chứng chồng chả tiền mặt . bao mụ trang nạn nhân hả trời.,2
học idt danh đậm mùi phân biệt,2
nhai đầu chủ nợ,2
miền bắc miền bắc ơi. gọi mỉa mai khinh miệt bọn chia rẽ miền đại diện cả. bình bọn phản động thành công tiêu cực sống hằng,2
bố văn lắm chả nghĩa coi động lực định tư tưởng phân biệt miền động lực xung quanhngười thân ấygia đình ấyđến thừ tiệm sửa xechứ,2
dẹp tiệm hãm lắm,2
nhẹ công an tiệm yêu ta dẹp tiệm lo đổi đi,2
đú xu hướng bẩn pr rip tiếng phản động ảnh hưởng kinh doanh lo đổi tiệm đi,2
núp bóng chùa giả thiện đặc ền kê ..khoẻ re.,2
tưởng 1 rip tư tưởng độc hại này.,2
trần quyết chiến thi đấu giải bida tq hình lưỡi bò cắt kèm hành động cất gậy 2 chó / coi giấc mơ mỹ. 2 hợp thể hiện yêu hoàn toàn.,2
trịnh 1 tranh luận sai tả não cãi thời gian tài khoản lồn sợ vãi đái quần xóa bình luận tài khoản lồn khè,2
thằng xôi thịt phường thảo khấu.,2
hi vọng căng thu hồi danh hiệu đi sợ. mấy đứa nghệ sĩ dởm mơ mỹ lắm á. đi việt nam.,2
mẹ bọn đạo văn,2
yêu tao sạn cờ ba que tao ném đi đầu giường giải vô nghĩa,2
vị thờ lá cờ vị ngớ ngẩn đất dạy vị,2
tưởng dân phố sài gòn bình dương hoá thổ khơ me lá cóc xoài,2
bố mẹ mày ngọng lồn dao rao giao,2
bố mẹ tao sai tả phân biệt miền ngọng líu ngọng lô đòi dạy,2
tuỳ chỗ ngọng bố mẹ dạy,2
cãi sai tả dân trí,2
omo bó vết nhơ này. mong chờ kết bọn coi pháp luật,2
tội thể tha phản quốc đbg xử pắn,2
tước quốc tịch liệt thành phản động,2
châm emm kì thị dân war,2
1 giảng viên kết nạp đảng 1 nghệ sĩ ưu tú đéo cờ dòng dõi ba que đó. mắc hiểu.,2
đấy toàn nam kỳ ba que ba que ngủ ba que dám vứt cờ ơi.,2
ví dụ tui nha tui giẻ 1 vứt chủ vứt bảo chủ chỗ khuất mắt cạch mặt chủ luôn. nchung hội thuyền vụ bênh,2
tiêu cực phật tử kia phát tâm cúng thầy phật khoá tu lo cơm ngàn tu tập hỗ trợ thầy trẻ đi học hành.,2
vô tình giấc mơ mỹ đấy đăng sinh nhật nhá đừng bọn dắt mũi,2
tao nướng mày nha,2
thằng trọc ển khoản mấy tuần xôn xao tởn tiếp tục,2
lù lù kia bảo vô tình ba que,2
mày lạc thời nguyên thuỷ,2
dạo ma trỗi dậy,2
1 đống rẻ jack chùi chân cắm mặt ngửi chắn thức vấn đề mẹ tôn thờ vứt,2
đức phật đám thợ tu hình ảnh.,2
