comments,nametag
Thomas Le bạn gửi tâm thư này tới trụ sở United Nations ở New York nha có treo cờ đỏ sao vàng á chắc họ sẽ nghe bạn ngay thôi.,Thomas Le
Đấng hiện lên và nói,
K cần nói nhiều. Anh chị vs cả dòng họ anh chị dùng fb và các nền tảng xh ghi: 5 điều Bác Hồ dạy và khẩu hiệu Đảng CSVN quang vinh muôn năm. Bác hồ kính yêu muôn năm. Như vây sẽ xem xét có tha thứ hay k. Thế nhé. Nhà bao việc:)),
Hòn Ngọc Việt ăn tiền của bọn 3que h mà làm vậy chắc bọn nó khử luôn quá :)),Hòn Ngọc Việt
Linh Giang,Linh Giang
"Ở bên Mỹ sao k nói tiếng mỹ đi, nói tiếng Việt Nam làm gì ta",
Vi Cao,Vi Cao
Cao Le Ngoc Bich khúc này k ai gánh nổi mấy má này,Cao Le Ngoc Bich
Oi khỏi thanh minh nguỵ biện chuyện gì chứ chuyện nầy cơ nghiệp tan tành theo mây khói chuyến nầy gđ cơ nghiệp đi xa lắm,
"Có hay không,cần phải xem xét lại các nghệ sĩ, ở nhà thì yêu Nước, người dân yêu mến.qua mẽo một cái là ôm cờ ba vạch, kẻ thì chê bai người dân lười nhác, BVH cần phải thẳng tay cấm sóng,thu hồi danh hiệu, không cứ phạt 7,5 tr họ coi thường",
Nguyễn Thị Mai Phương,Nguyễn Thị Mai Phương
Đệ ruột thích chân Quang bảo sao,
Tẩy chay mẹ đi cho nhanh. Con Ngọc Mai hồi trước bị khai trừ khỏi đảng thì chắc chắn phải là lý do nhạy cảm,
Hoài Anh,Hoài Anh
"R ý là muốn ăn cả cơm, ăn cả cc/ứt à =)))))",
Cha ngu hại con thêm con vợ ngu. Ko học lịch sử hay gì,
liên quan tới 3 que cứ thẳng tay mà tẩy chay và cấm sóng. như tẩy chay ông hoài linh vậy á.,
Ai chứ t chả tiếc j nhé.,
Buyến,
"Phân trần thì lại càng khẳng định trong hội 3 que, khát nước",
https://www.facebook.com/groups/2103208890049928 mọi người vào nhóm tẩy chay bọn 3 ke đi ạ,https://www.facebook.com/groups/2103208890049928
Hạnh Ngân,Hạnh Ngân
Có mù mới ko thấy,
"CẦN TUYỂN SỐ LƯỢNG LỚN CTV
Làm CMT bình luận FACEBOOK",
Nguyễn Ngọc Trâm,Nguyễn Ngọc Trâm
Cầm cờ Viêt Nam Chạy 1 Vòng nơi ở của bọn đu càng đi t Tin,
"Sau vụ này ủng hộ chị Mai hơn. Em sống ở vn nhưng ước gì dc làm 3 que nè. Cái xứ gì lạ, ép người ta phải yêu chế độ. Đám trẻ thì ko phân biệt được chế độ và đất nước nó khác nhau. Đất nước cả hàng ngàn năm văn hiến còn cái chế độ tham nhũng cộng sản ch… See more",
Hannie Monaban,
"Ba Râu há há. Đã nói có phải 3/ chế độ cũ đâu mad gửi hình chi z. Nhưng mà sau khi tìm hiểu thì ngưỡng mộ chế độ đó hơn chế độ cs tham nhũng hiện tại. Tự dưng thấy 1 thế hệ cái gì cũng đổ thừa và sợ hãi 3/ …
thấy hài qué đi thoy",
Hannie Monaban chế độ cũ ít tham nhũng hả thằng dốttttt,
"Hannie Monaban vai l, chế độ cũ đấy mại dâm ma tóe nghiện ngập thì vail. Tiền thì Mẽo nó bơm cho để cho lính mẽo nó hoạt động laik cứ nghĩ mình là hòn dai viễn đông :))",
"Hannie Monaban nhìn cái tên mày thì tao cũng k nghĩ mày là ng Việt Nam mày cũng cút đi được mà,Việt Nam thiếu mày cũng như biển thiếu 1 con cá ươn thôi,bố mẹ mày chết nên k cho mày học tới nơi tới chốn,nói chuyện kiểu mỉa mai.",
"Haha.toàn mấy đứa chẻ châu như mày chửi chứ thẩy cho đồ mỹ này có sài ko?? Một thế hệ nhạy cảm như vùng kín zị á. Ko phân biệt dc Tổ quốc và thể chế chính trị
cười ẻ.",
Hannie Monaban đúng là cái bọn mới sang nước khác là hống hách đặt đống fb giả k dám dùng fb thật để đi ủng hộ bọn 3que.nhục lắm.ở bên đấy mà unhr hộ 3que đi nhé.k có Đảng CSVN quang vinh thì chúng mày k sống dc đến giờ để sang nước khác để bêu rếu về … See more,
"Hannie Monaban ôi vãi linh hồn, thế là do bạn ngu quá không tìm hiểu hết đấy bạn ak.",
Hannie Monaban mà sao bạn ước làm chó rồi khi người ta kêu bạn là chó bạn lại kêu bản thân không phải chó. Muốn làm chó thì phải theo đuổi con đường làm chó đến cùng chứ,
"Hannie Monaban Đất nước này là đất nước do chế độ Cộng Sản cầm quyền , người Cộng Sản hy sinh mới có đất nước và còn có cái nghìn năm văn hiến kéo dài từ Bắc đến Nam mà giữ đến bây giờ, không thì bây giờ làm gì có chữ Việt Nam trên bản đồ nữa, còn ngư… See more",
Hay bọn ba que nó đài thọ sang ở với chúng nó. Haizzz phải biết mình là nghệ sỹ có tầm ảnh hưởng thì phải quan sát cái cơ bản phải có lòng tự tôn dân tộc. Nó đập vào mắt chứ nằm 1 xó nào đâu,
"dân trong nước khổ đầy ra...cnó đem tiền đi từ thiện cho 3que
loại này mong bộ cho cấm vĩnh viễn k đc đặt chân về VN!",
"dài dòng quá, tóm lại là cũng ba que, nhưng sơ ý làm lọt cái cờ vô hứa lần sau không làm lộ z nữa được chưa… đại loại là z",
Tuyết Mẫn :))),Tuyết Mẫn
Nguyễn X. Vy,Nguyễn X. Vy
Hay,
2 con Sv ấy mắt đui có tiền nên ko thấy,
"Đm, kiếm tiền từ đất nước này rồi cuối cùng quay lưng với chính đất nước này, tẩy chay cấm về Việt Nam luôn đi ạ. Giải thích cái lol gì, càng giải thích càng thấy giống kẻ không có não vậy.",
"Để hình nền quốc kỳ cờ đỏ sao vàng của Việt Nam làm hình nền hoặc hình đại diện, đọc thuộc 5 điều Bác Hồ dạy trên facebook là t tin.",
Nhật Minh,Nhật Minh
Nguyễn Thị Thùy Dung,Nguyễn Thị Thùy Dung
Chắc tại catse nhìu quá,
"Đến đất nước của họ, đến nhà họ.Tôn trọng cách sống của họ. T thấy chả làm sao hết.Trừ khi vc Nghiệp cố tình cầm cờ trên tay thì ko nói làm gì.",
3 que là 3 que,
"Hoá ra cũng là vện vàng à?
. Giấc mơ thành sự thật thì ở đó đi,về chi nữa.",
Chém nó,
Sơn Hoài,Sơn Hoài
Chắc lại vận động 1 tiếng 100k rồi,
dừa lòng tui quá,
Dí tới số luôn đi,
1 lò 3 que xỏ lá,
"H muốn yên ả dễ thôi, cầm cờ Việt Nam vào đúng những chỗ cũ chụp.",
Thôi next là đẹp r,
Sau khi bị ăn chửi nhiều quá khoá tk r :)))),
"Viết dài dòng làm gì, giờ quay clip đi ẻ vào cờ 3 que, sau đó cầm cờ
chạy vài vòng Cali hô Việt Nam muôn năm là được mà",
"Vô tình, nó muốn thoát Việt mà, giấc mơ mẽo",
nực cười thật,
Vô vô cái lol zk nó chứ vô. Phong sát từ đầu cha nó phong xuống chứ vô.,
"OMO cũng bó tay trước vết nhơ này.
mong chờ cái kết của bọn coi thường pháp luật",
Truc Quynh Nguyen,Truc Quynh Nguyen
Đ tin,
"Tội gì có thể tha chứ phản quốc là đbg đc cho nó quay về, như bên khác về là xử pắn luôn",
"Tước bỏ quốc tịch, liệt vào thành phần phản động",
"Cút thôi, tình yêu Tổ Quốc thì đéo có sự vô tình.",
Tẩy chay khỏi nói nhiều,
Thanh Hiền 3/// ra vẻ yêu nước nè,Thanh Hiền
nguyen the vinh ( Trung Tam Huong Duong o Binh Duong co 25 Tre Em ) dung Tre Em de KINH DOANH = Quyen Tien 7 TP o MY : $500.000 USD ( TIEN di dau ????? ) BAO cho CA . Day la nam thu 4 : $2 TRIEU USD di dau ?????? XIN TRA LOI,
"Đi tình nguyện làm việc thiện sang tận Mỹ làm cơ , yêu chế độ quá đây mà",
Trinh Sumi,Trinh Sumi
"Phải gọi là điệp viên tình báo thất nghiệp maiosen tạo vỏ bọc quá tốt nào là hát gym vào thân tre rồi thì mặc áo diễn xiếc , giỏi đấy",
"Nhận show mà k tìm hiểu hả, k một lời xin lỗi đến khán giả Việt Nam nữa chứ",
Bọn C HÓ MUÔN ĐỜI...BAQUE,
"Ở vn đang có công danh sự nghiệp có tất cả nhưng lại bỏ tất cả để sang bển làm nô lệ.
chịu thua",
3///,
"Nó treo trong nhà thì vô tình cái đầu b, may mà lộ ra để còn biết sớm",
"k nói nhiều, cầm cờ đỏ sao vàng chạy khắp Cali đi
quay clip hô to “đảng cộng sản vn muôn năm”
làm vậy ih là có đường về vn kiếm ăn. còn k thì lỡ rồi thì đu càng 3\\\ lun cho lẹ =)) chứ thanh minh thanh nga chi nữa",
Ng Qimi Thái Đỗ Linh Ngan ba we nè,Ng Qimi
lực lượng hùng hậu ghê,
"Nó âm ỉ lâu rồi, chẳng qua bây giờ mới lộ ra thôi...",
Cần thông não. Tóm tắt hộ với,
Mấy loại 3/// phản động thì nên tẩy chay gấp không nói nhiều với chúng nó chỉ tốn nước bọt,
Biết mà vẫn cố làm thì tảy chay hoi,
"gắn cờ tổ chức khủng bố chuyên âm mưu đặt bom sân bay Tân Sân Nhất, Nhà Ga, các công trình trọng điểm của tp HCM mà nó coi đó là bình thường, thì chỉ có thể nó là một bộ phận và được hưởng lợi ích, và có khi được kết nạp vào tổ chức khủng bố rồi, chẳng… See more",
Khổ vkck bị đánh tơi tả,
Thế có đánh VCSB k để tôi còn biết lối,
Tin cái qq. 3/ thì cút,
Nguyễn Minh Nguyệt ko cho cãi :)),Nguyễn Minh Nguyệt
"Pucca Thu Dang giờ thì giấc mơ có thật luôn
dí đến khi bị tước quốc tịch VN thì thôiiiii",Pucca Thu Dang
Ủng hộ chị Mai vì sống định cư Mỹ mà thấy bình thường thôi,
Ai khen chy 3 giau chy 3 tang Vest ok?,
báo tuổi.... 10 người hết 11 người k biết báo tuổi.... là báo gì luôn,
Giấc mơ mỹ cmmm,
"Nó lấy lí do như vậy để được tị nạn ở lại Mỹ mà, cố ý chứ vô ý ai nào thế ?",
Thanh Hiền 0 nói nhiều bật playlist này lên cho anh chị nghe hộ t vớiii,Thanh Hiền
Nguyễn Hương Giang ô bây giờ mới thấy =))))),Nguyễn Hương Giang
Thanh Hiền hot hơn cả em í em ơi =)),Thanh Hiền
"Kiếm tiền trên đất nước Việt Nam, lợi dụng lòng yêu nước của con người Việt Nam để kiếm miếng cơm manh áo, điều 44 Hiến pháp 2013 quy định rõ ràng là :
- Công dân có nghĩa vụ trung thành với tổ quốc .
- Phản bội tổ quốc là tội nặng nhất. … See more",
"Ngta nói đúng mà người ta ko để ý thật chứ, nếu mà có để ý thì làm sao mọi người biết ngta là ba que được",
"Đã 3que nhưng chỉ muốn kiếm tiền trên đất nc VN
cút ~",
Mệt mỏi với cđm,
CÁI THỨ ĂN CỨC ĐÁ BÔ :))),
"Ko có vô tình ở đây, cố tình quay chính diện để lấy minh chứng lấy đường sang mẽo - đề nghị gỡ hết cái tên osen khỏi các nền tảng,thu hồi danh hiệu của dvien xiếc, gỡ luôn quốc tịch vn của cả cặp",
"2 vạch là ""đang có chửa"" còn 3 vạch thì "" chưa có ĐẢNG """,
Vô tình cc,
"Cứ tưởng thằng ml đi làm xiếc cầm cờ tổ quốc vì yêu nước. Hoá ra là thằng ///. Bẩu sao con vk đc nhiều ng yêu thích vì tính giả tạo
2 vc sang cố hạnh phích nhé. Chứ ko lại như mấy anh chị ca sĩ sang tới nơi lại bỏ nhau",
"Đã từng đứng trước vong linh của những chiến sĩ ở Quảng Trị. Đã từng khoác lên mình trang phục của những người lính Cụ Hồ, đứng ở nơi linh thiêng hàng ngàn người ngã xuống như Thành cổ Quảng Trị, Nghĩa trang Trường Sơn.... Vợ là giảng viên, chồng là Ng… See more",
Đi hát vs biểu diễn quyên góp quỹ cho bọn 3 que hoạt động thì kinh dồi :))),
Vô tình éo gì. Đã sang bên đấy là tụi nó theo 3 / ah,
Bị gài để chụp. Thâm thật. Không có gì free đâu. Đáng lắm.,
Hát sai có thể hát lại. Nhưng làm TAY SAI thì cút ngay lập tức.,
Dự là vk ck nó mua quốc tịch,
Tuấn Đạt :)))),Tuấn Đạt
"Mà nhìn chung, caí PRby9 cũng khác del gì, rồi mấy má cũng qua đó diễn, khán giả cũng 3 que đầy, ở đây vẫn mở coi ầm ầm, xui là dính cái miếng giấy chùi đít đó trong clip",
Giải thích là vô tình lọt vào video chứ mắt thì vẫn nhìn thấy,
Lê Trúc,Lê Trúc
Kim Oanh Trương,Kim Oanh Trương
Giờ viết status đ!t mẹ 3 que là xong chuyện,
"Mấy thằng baque khát nước không có chữ ""vô tình"" ở đây. Kiếm tiền ở VN rồi bay qua bợ đít mấy thằng mẽo. Loại này là dòng ""ăn cháo đá bát"", ""cõng rắn cắn gà nhà"", tốt nhất là phong sát để răn đe.",
Thư HồDon Quach,Thư Hồ
Gia đình này có tư tưởng phản bội từ trước rồi …. Càng xem càng rõ sự chuẩn bị và liên kết rất rõ ràng … ngoài điều tra thêm trung tâm khuyết tật từ thiện hoa hướng dương … khả năng lợi dụng trẻ khuyết tật liền đường dây đấy …. Chúng nó dựng clip gây d… See more,
"Người ta qua Mỹ ở ké , nhà gia chủ họ decor như vậy. Gia đình người ta đang vui vẻ ko để ý nên mới đăng Video như vậy, chứ người ta đâu có ngu mà đăng như vậy. Để tự hủy hoại sự nghiệp của mình. Mọi người nghĩ đi.
Quốc Cơ Quốc Nghiệp mặc trang phục Vi… See more",
"●▬▬▬▬▬▬▬๑۩ 𝐋𝐎𝐂𝐗𝐈𝐏𝐎𝟕𝟕𝟕𝟕𝟕 ۩๑▬▬▬▬▬▬▬●
𝖦𝖨АО 𝖣ỊС𝖧 Ѕ𝖨Ê𝖴 ТỐС - Ư𝖴 ÐÃ𝖨 Р𝖧Í ЅỐС
Ðẳпɡ Сấр K𝗂пɡFᴜп / ⅬосХ𝗂Ро77777
С 0 𝖣 Е тг𝗂 âп һàпɡ … See more",
"Giờ nghệ sỹ việt nam toàn tậu thẻ xanh quốc tịch mỹ. Kim tiểu long, đàm vĩnh hưng, quỳnh đông, trấn thành các kiểu đó sao tụi bây không tẩy chai đi",
"Lũ người hạ đẳng chả bao giờ quan tâm họ có thực sự phản động hay không, sự việc chưa có gì rõ ràng, vợ chồng họ cũng đã lên bài đính chính, vậy mà lắm kẻ ghen ăn tức ở lao vào cấu xé với mục đích hạ bệ người khác dù họ chẳng có thù oán gì với mình. Lũ… See more",
"Nhập gia phải tùy tục, hầu hết người Việt Nam sống ở Tây Âu Bắc Mỹ là người Việt Nam theo phe CH thì không giao lưu với họ sao",
Ở nhà ăn bám chứ yêu nước nhé. 3q phản động là tẩy chay ko nói nhiều!,
Nó khoá fb cả 2vc rồi anh em ạ,
"Vợ chồng nhà này ví dụ mà là người triều tiên
thì thế nào nhỉ",
Kiên Duy Nguyễn ủn nó bắn,Kiên Duy Nguyễn
Kiên Duy Nguyễn thì làm gì còn ngồi viết được như này,Kiên Duy Nguyễn
Kiên Duy Nguyễn bắn,Kiên Duy Nguyễn
Kiên Duy Nguyễn tạch tạch trong một nốt nhạc,Kiên Duy Nguyễn
Kiên Duy Nguyễn thì đang ngồi trên bàn thờ viết bản kiểm điểm rồi,Kiên Duy Nguyễn
Kiên Duy Nguyễn bắn,Kiên Duy Nguyễn
Kiên Duy Nguyễn may là Việt Nam tốt hơn Triều Tiên không phải nước nào cũng được thế đâu.,Kiên Duy Nguyễn
Eru Chitanda tốt hơn cỡ nào.,Eru Chitanda
Eru Chitanda sao b biết,Eru Chitanda
"Phan Quốc Hiếu tốt hơn cỡ mọi người nghĩ nói nó tốt hơn bao nhiêu thì tốt hơn bấy nhiêu tôi chưa từng tới Triều Tiên
nên sao mà biết. Nhưng chắc là VN mình khoan dung hơn thì mọi người mới tự hào chứ .",Phan Quốc Hiếu
Cuong Quoc cùng câu trả lời với câu hỏi của ông Phan Quốc Hiếu tôi trả lời rồi đó,Cuong Quoc
Eru Chitanda Ntn chúng nó còn chê bai bỉ bôi thì cũng chịu rồi :))) nhiều đứa cợt nhở ko hiểu Tội Phản Quốc nó to ntn…,Eru Chitanda
Phan Quốc Hiếu nếu không tốt thì ở đây làm gì đi tìm nước nào tốt hơn mà ở,Phan Quốc Hiếu
"Eru Chitanda cậu cmt cái,bắt dc mấy con cali luôn,kaka",Eru Chitanda
Kiên Duy Nguyễn bòm bòm,Kiên Duy Nguyễn
Kiên Duy Nguyễn tháng về nhà 2 lần đó,Kiên Duy Nguyễn
Kiên Duy Nguyễn a ủn cho cả họ bay màu ko có cơ hội tháng về 2 lần luôn,Kiên Duy Nguyễn
"Kiên Duy Nguyễn thì… chả sao cả =]]
Mấy tin đồn sĩ quan bị xử bằng súng phòng không r hồi sinh trc kia vẫn chưa đủ để mn thấy nên suy nghĩ lại sao?",Kiên Duy Nguyễn
Kiên Duy Nguyễn thì ăn kẹo,Kiên Duy Nguyễn
Kiên Duy Nguyễn vào hầm mỏ lao động khổ sai,Kiên Duy Nguyễn
"Kiên Duy Nguyễn Tôi nghĩ ủn sẽ giam hết tất cả dòng họ lại, cứ cho 2 ng kia đc đi qua kia nhưng cha mẹ, con cái, hay cô dì chú bác sẽ phải chịu khổ sai suốt đời.ăn kẹo đồng thì dễ quá, chắc gì đã bắt đc 2đứa nó trong khi vd nó đã có quộc tịch mẽo là cô… See more",Kiên Duy Nguyễn
Kiên Duy Nguyễn về nước thằng Ủn nó lấy 12 ly 7 nó đồ sát cả nhà chứ ko giỡn mặt với nó.,Kiên Duy Nguyễn
Kiên Duy Nguyễn biết cắt tiết. canh vịt ko b? nó đó,Kiên Duy Nguyễn
Kiên Duy Nguyễn đăng xuất chứ sao,Kiên Duy Nguyễn
Kiên Duy Nguyễn kẹo đồng,Kiên Duy Nguyễn
Kiên Duy Nguyễn ăn kẹo đồng...,Kiên Duy Nguyễn
Kiên Duy Nguyễn thì được sang Hàn Quốc sống xịn hơn .. theo mình biết có rất nhiều người muốn trốn Triều sang Hàn..Giống như bỏ Bắc vào Nam vậy ák,Kiên Duy Nguyễn
Vinh Quang ví dụ của kẽ bại não,Vinh Quang
Vinh Quang bạn so sánh kỳ quá à,Vinh Quang
"Kiên Duy Nguyễn ko biết có hay không, nếu có hồn phách chắc cũng tan luôn",Kiên Duy Nguyễn
Kiên Duy Nguyễn co duoc di ra nuoc ngoai dau ma ví dụ,Kiên Duy Nguyễn
Kiên Duy Nguyễn hửi thuốc súng chứ sao,Kiên Duy Nguyễn
Kiên Duy Nguyễn xong mịa nó rồi,Kiên Duy Nguyễn
"Kiên Duy Nguyễn là người Triều Tiên thì 2 VC này mỗi người có 1 cái ""Lỗ"" ở đầu",Kiên Duy Nguyễn
Duong Duong rỗ như tổ ong chứ 1 lỗ k đủ vs a ủn,Duong Duong
Duong Duong thêm 2 lỗ lận chứ sao 1 đc kk,Duong Duong
Cờ 3 que cắm đầu giường thì kinh rồi,
Kiên Duy Nguyễn bó bẳn,Kiên Duy Nguyễn
Kiên Duy Nguyễn Thì xin tị nạn chứ sống sao được với cái lũ bò đoả này.,Kiên Duy Nguyễn
Nguyen Duc Long,Nguyen Duc Long
Kiên Duy Nguyễn bay màu luôn chứ làm j còn thở mà trình bày,Kiên Duy Nguyễn
Kiên Duy Nguyễn thì 1 năm nữa ăn liên hoan to. Đắp chăn xanh.,Kiên Duy Nguyễn
Kiên Duy Nguyễn ở xứ anh Ủn thì méo có cơ hội đăng đàn giải thích luôn.,Kiên Duy Nguyễn
"Bố Xuxu đến tận nhà bốc đi luôn nhỉ,",Bố Xuxu
"Bố Xuxu có nha, giải thích với cây aka của mấy ông lính á =))",Bố Xuxu
Bố Xuxu ở a ủn thì bắn chư k có giải thích,Bố Xuxu
Bố Xuxu ở xứ a ủn làm dêll gì đc đi du lịch,Bố Xuxu
"Bố Xuxu
tầm này thì đại bác chứ ak gì nữa",Bố Xuxu
"Kiên Duy Nguyễn ko có cơ hội nói .bùm luôn, tội phản quốc,",Kiên Duy Nguyễn
Kiên Duy Nguyễn xứ của a Ủn thì làm gì có MXH mà đăng. Nên cũng k sao lắm đâu,Kiên Duy Nguyễn
"Kiên Duy Nguyễn nghe sĩ Triều Tiên được tu do bay qua Mỹ biểu diễn hả , mong cð bạn suôn sẻ nhỉ",Kiên Duy Nguyễn
Kiên Duy Nguyễn là người thành tổ ong lun,Kiên Duy Nguyễn
"Kiên Duy Nguyễn căn nhà này ở nhờ à. Phải truy chủ nhà, chắc phản động r",Kiên Duy Nguyễn
Bang Bang truy thì lz đc đâu. Vc nhà này đang ở nhờ nhà 3/// mà.,Bang Bang
"Vũ Hồng Sơn căn nhà nào cũng có chủ, phải mời lên uống trà chứ",Vũ Hồng Sơn
Bang Bang bác k hiểu ý e à. Nhà này nó bên mỹ. Chứ nó có ở vn đâu mà mời được,Bang Bang
Vũ Hồng Sơn thế là 1 ổ cali à,Vũ Hồng Sơn
Bang Bang chuẩn luôn,Bang Bang
"Bang Bang đi hát cho ""tổ chức từ thiện"" của 3/// bên Mỹ thì mới ở nhà của gia đình 3/// thì mới có cờ đó chứ. Gia đình bt họ ở Mỹ thì họ chỉ cắm cờ mỹ thôi",Bang Bang
"Bang Bang nhà ng ta ở bên mỹ, thách cả nước vn đố thằng nào dám sang truy đấy",Bang Bang
Đặng Truờng cả nước VN trừ nòi ba sọc đéo ai thèm quan tâm mấy búi trĩ Cali cả,Đặng Truờng
"グエン ヴイン ừ, ko quan tâm mà hơi lọt vào máy quay 1 tý mà cả nước sợ hãi, sợ cái rẻ lau đấy đến thế cơ à",グエン ヴイン
Đặng Truờng sợ?chỉ là người VN căm ghét cái chế độ ngụy rước voi về giày mả tổ người ta nói thôi chứ lúc cả bó cả con thêm mấy đứa ae ghẻ cùng châu vào đánh còn phải đu càng tụt quần thì có cái mợ gì mà sợ?mày cứ bị làm sao ấy,Đặng Truờng
"グエン ヴイン thế sao bảo ko quan tâm
m có thấy mâu thuẫn ko, ko quan tâm mà mỗi việc cái lá cờ nó lọt ống kính thôi dân cả nước đã khóc lên khóc xuống",グエン ヴイン
"Đặng Truờng nhưng m có hiểu vẫn đề là cả 2 vk ck nó quốc tịch ở đâu ko và nó đang sinh sống làm việc ở đâu ko xuất phát từ đảng viên mà thế này chả ăn chửi, 2 vk ck nó mà là quốc tịch Mỷ thì đéo ai quan tâm",Đặng Truờng
Đặng Truờng cái người ta nói là nói vợ chồng con sen cạn kia thôi chứ họ hàng nhà mày ở Cali ai nhắc đến làm gì?!nuôi con chó cho ăn cho uống xong quay lại cắn vào đít thì lại để im?cùng nòi tôm sông sứa biển chắc luôn,Đặng Truờng
Đặng Truờng đù má mấy cái thằng què khóa bảo vệ trang ko có tiếng nói nhé.,Đặng Truờng
"Bang Bang nhà đó bên mẽo á , qua truy hộ",Bang Bang
Bang Bang đúng vậy,Bang Bang
Kiên Duy Nguyễn thêm 1 sọc nữa may ra ổn,Kiên Duy Nguyễn
Kiên Duy Nguyễn cùng suy nghĩ. Này gặp a ủn là đám này banh xác.,Kiên Duy Nguyễn
Kiên Duy Nguyễn chắc chếch k kịp ngáp :((,Kiên Duy Nguyễn
Kiên Duy Nguyễn chắc trốn cho nhanh không thì điệp viên nó thủ tiêu rồi. Tội bán nước. Phản bội tổ quốc là nặng nhất rồi còn j,Kiên Duy Nguyễn
Kiên Duy Nguyễn thì ăn kẹo đồng chứ sao bạn,Kiên Duy Nguyễn
Kiên Duy Nguyễn thì thành tổ ong ngay và luôn,Kiên Duy Nguyễn
Kiên Duy Nguyễn thì hồn phi phách tán khỏi phải thờ luôn,Kiên Duy Nguyễn
Kiên Duy Nguyễn gặp anh Ủn thì không có sau đó hay thế nào. Tru di cửu tộc,Kiên Duy Nguyễn
Kiên Duy Nguyễn tung của thui thì thế nào nữa,Kiên Duy Nguyễn
Kiên Duy Nguyễn gặp a ủn thì mỗi đứa 1 viên,Kiên Duy Nguyễn
Lê Minh Dũng chu di cử tộc,Lê Minh Dũng
Kiên Duy Nguyễn phong sát,Kiên Duy Nguyễn
"Kiên Duy Nguyễn VN mà phản quốc thì cũng tử hình
Không nước nào chứa chấp kiểu ăn cây táo rào cây sung vậy cả",
Nguyễn Đức Cường m tử hình hộ 2 đứa trên bài cái :)),Nguyễn Đức Cường
Nguyễn Đức Cường làm nhẹ cái tước quốc tịch là xong ngay ấy mà,Nguyễn Đức Cường
Nguyễn Đức Cường vs cấm nhập cảnh nữa thì hết bài,Nguyễn Đức Cường
Kiên Duy Nguyễn thế thì riêng 2vc nhà này 49-50ngày cũng không về nổi =))),Kiên Duy Nguyễn
Kiên Duy Nguyễn ang Ủn lại thử tên lửa có điểm rơi là nhà bả,Kiên Duy Nguyễn
Kiên Duy Nguyễn bạn muốn một cs như dân triều tiên ah,Kiên Duy Nguyễn
Kiên Duy Nguyễn chắc giống a tầu thời phong kiến luôn b. Chu di 9 tộc..,Kiên Duy Nguyễn
Nghiệp này nghiệp chướng rồi...,
"Kiên Duy Nguyễn cần gì,gặp Trung Quốc nó cũng bắn,tội có tính chất phản quốc là k thể tha",Kiên Duy Nguyễn
Kiên Duy Nguyễn bắn bỏ mẹ nó lâu rồi,Kiên Duy Nguyễn
Kiên Duy Nguyễn ở mỹ là bị cảnh sát da trắng đè cổ bằng gối chết lâu r nhé. Ở pháp 3 tháng đầu năm 2024 tự hảo ít dân chết nhất trong 30 năm qua do cảnh sát làm :)) vị chi là 3 người. Ở tư bản mày chưa phản động chống đối bị bắn r nhé,Kiên Duy Nguyễn
Thì mất tích,
Kiên Duy Nguyễn ở quê a Ủn thì những người thuộc tầng lớp Nghiệp Mai làm gì có cơ hội sang mỹ tự do thế này bạn ơi,Kiên Duy Nguyễn
Kiên Duy Nguyễn Nhét thùng xốp ngay và luôn.,Kiên Duy Nguyễn
"Lấy đc quốc tịch mỹ luôn rồi nha chúc mừng nha.
Đi đi chứ ở Việt Nam kiếm tiền lẻ chán lắm qua Mỹ mình nài đô na ha.",
Kiên Duy Nguyễn tiêu diệt,Kiên Duy Nguyễn
Kiên Duy Nguyễn pkăng chíu,Kiên Duy Nguyễn
Kiên Duy Nguyễn thì ủn cho lên đoạn đầu đài còn sao nữa. Luật họ rắn hơn mình nhiều. M ko nhầm triều tiên còn ko cho mặc quần bò thì phải ấy,Kiên Duy Nguyễn
Kiên Duy Nguyễn triều tiên độc tài mà nói lf gì.,Kiên Duy Nguyễn
Kiên Duy Nguyễn thì nếu về nước thì sẽ bị bỏ tù hoặc xử bắng,Kiên Duy Nguyễn
Kiên Duy Nguyễn ở triều tiên như này chu di tam tộc luôn rồi còn ngồi đó biện minh đc à,Kiên Duy Nguyễn
Tạ Quang Hồng vn mà biến thành bắc Triều Tiên thì chắc thành thiên đường !,Tạ Quang Hồng
Tạ Quang Hồng mình nhớ thời xưa Cửu tộc chứ nhờ,Tạ Quang Hồng
Thuy Dao thế là đủ no đòn rồi,Thuy Dao
Kiên Duy Nguyễn nghiêm sãn sàng,Kiên Duy Nguyễn
Kiên Duy Nguyễn xin toạ độ chứ còn gì nữa:)),Kiên Duy Nguyễn
Kiên Duy Nguyễn thì bắn bỏ cả họ luôn,Kiên Duy Nguyễn
"Kiên Duy Nguyễn tháng về 2 lần, tháng 7 về nguyên tháng \",Kiên Duy Nguyễn
Kiên Duy Nguyễn hình như ủn k cho phép công dân của họ đi du lịch nước ngoài,Kiên Duy Nguyễn
Kiên Duy Nguyễn cho đang xuất cả dòng tộc luôn khỏi phân trần,Kiên Duy Nguyễn
Kiên Duy Nguyễn nhanh nguy hiểm như covit chẳng có cơ hội lần tỏa chẳng vụ nay,Kiên Duy Nguyễn
"Kiên Duy Nguyễn nếu người triều sao đi được mỹ , tôi lại hỏi bạn , bạn bao giờ được đi mỹ đế",Kiên Duy Nguyễn
Kiên Duy Nguyễn chú di tam tộc 3 đời nhà nó.,Kiên Duy Nguyễn
